"translation","V1","V2","TimeSec","TimeAbsolute"
"0",8053,2247714.2,2247.7142,0
"0",8054,2259878.1,2259.8781,0
"0",8055,2270325.8,2270.3258,0
"0",8056,2280890.1,2280.8901,0
"0",8057,2297386.4,2297.3864,0
"0",8058,2306517.7,2306.5177,0
"0",8059,2315782.3,2315.7823,0
"0",8060,2326429.9,2326.4299,0
"0",8061,2335494.6,2335.4946,0
"0",8062,2345292.4,2345.2924,0
"0",8063,2355323.5,2355.3235,0
"0",8064,2369020.4,2369.0204,0
"0",8065,2378435,2378.435,0
"0",8066,2387049.7,2387.0497,0
"0",8067,2395914.4,2395.9144,0
"0",8068,2414593.6,2414.5936,0
"0",8069,2425941,2425.941,0
"0",8070,2449385.8,2449.3858,0
"0",8071,2459916.8,2459.9168,0
"0",8072,2472797.2,2472.7972,0
"0",8073,2482311.8,2482.3118,0
"0",8074,2492373.9,2492.3739,0
"0",8075,2501824.1,2501.8241,0
"0",8076,2511955.1,2511.9551,0
"0",8077,2523652.5,2523.6525,0
"0",8078,2531584,2531.584,0
"0",8079,2547563.8,2547.5638,0
"0",8080,2556845.1,2556.8451,0
