"translation","V1","V2","TimeSec","TimeAbsolute"
"0","0",0,0,0
"0","141023",0.9,9e-04,0
"0","104859",0.9,9e-04,0
"0","591",0.9,9e-04,0
"0","500",1,0.001,0
"0","203",2,0.002,0
"0","10000",3,0.003,0
"0","16000",4,0.004,0
"LH Block Start","10",17.6,0.0176,0
"Visible Block Start","12",18.6,0.0186,0
"0","94",18.6,0.0186,0
"0","9101",135318.4,135.3184,0
"0","20",135319.4,135.3194,0
"0","40",155814.7,155.8147,0
"move epoch: 2cm cube","62",157647.6,157.6476,0
"0","8001",157647.6,157.6476,0
"0","7",157631,157.631,0
"trial finished okay","80",157632,157.632,0
"experimenter confirmed","90",157764.3,157.7643,0
"0","9102",164278.5,164.2785,0
"0","20",164279.5,164.2795,0
"0","40",258174.9,258.1749,0
"move epoch: 3cm cube","63",258824.8,258.8248,0
"0","8002",258824.8,258.8248,0
"0","7",258799,258.799,0
"trial finished okay","80",258800,258.8,0
"experimenter confirmed","90",263537.3,263.5373,0
"0","9103",263889.3,263.8893,0
"0","20",263890.3,263.8903,0
"0","40",299465.6,299.4656,0
"move epoch: 3cm cube","63",300632,300.632,0
"0","8003",300632,300.632,0
"0","7",300619,300.619,0
"trial finished okay","80",300620,300.62,0
"experimenter denied","91",304776.7,304.7767,0
"0","9104",307529.4,307.5294,0
"0","20",307530.4,307.5304,0
"0","40",317344.9,317.3449,0
"move epoch: 1cm cube","61",318178,318.178,0
"0","8004",318178,318.178,0
"0","7",318159,318.159,0
"trial finished okay","80",318160,318.16,0
"experimenter denied","91",304776.7,304.7767,0
"0","9105",322942.6,322.9426,0
"0","20",322943.6,322.9436,0
"0","40",339973.1,339.9731,0
"move epoch: 1cm cube","61",340606.3,340.6063,0
"0","8005",340606.3,340.6063,0
"0","7",340594,340.594,0
"trial finished okay","80",340595,340.595,0
"experimenter denied","91",344884,344.884,0
"0","9106",347203.8,347.2038,0
"0","20",347204.8,347.2048,0
"0","40",387329,387.329,0
"move epoch: 3cm cube","63",388028.9,388.0289,0
"0","8006",388028.9,388.0289,0
"0","7",388005,388.005,0
"trial finished okay","80",388006,388.006,0
"experimenter confirmed","90",344884,344.884,0
"0","9107",392860.1,392.8601,0
"0","20",392861.1,392.8611,0
"0","40",406141.5,406.1415,0
"move epoch: 2cm cube","62",406708,406.708,0
"0","8007",406708,406.708,0
"0","7",406694,406.694,0
"trial finished okay","80",406695,406.695,0
"experimenter confirmed","90",344884,344.884,0
"0","9108",411172.6,411.1726,0
"0","20",411173.6,411.1736,0
"0","40",421821.2,421.8212,0
"move epoch: 3cm cube","63",422521.1,422.5211,0
"0","8008",422521.1,422.5211,0
"0","7",422507,422.507,0
"trial finished okay","80",422508,422.508,0
"experimenter confirmed","90",344884,344.884,0
"0","9109",427219,427.219,0
"0","20",427220,427.22,0
"0","40",438517.5,438.5175,0
"move epoch: 1cm cube","61",439099,439.099,0
"0","8009",439099,439.099,0
"0","7",439091,439.091,0
"trial finished okay","80",439092,439.092,0
"experimenter confirmed","90",344884,344.884,0
"0","9110",443315.4,443.3154,0
"0","20",443316.4,443.3164,0
"0","40",455197,455.197,0
"move epoch: 2cm cube","62",455930.2,455.9302,0
"0","8010",455930.2,455.9302,0
"0","7",455906,455.906,0
"trial finished okay","80",455907,455.907,0
"experimenter confirmed","90",459812.6,459.8126,0
"0","9111",460094.9,460.0949,0
"0","20",460095.9,460.0959,0
"0","40",472343.1,472.3431,0
"move epoch: 3cm cube","63",473076.3,473.0763,0
"0","8011",473076.3,473.0763,0
"0","7",473065,473.065,0
"trial finished okay","80",473066,473.066,0
"experimenter confirmed","90",477475.3,477.4753,0
"0","9112",478140.8,478.1408,0
"0","20",478141.8,478.1418,0
"0","40",488156.2,488.1562,0
"move epoch: 2cm cube","62",488806.1,488.8061,0
"0","8012",488806.1,488.8061,0
"0","7",488786,488.786,0
"trial finished okay","80",488787,488.787,0
"experimenter confirmed","90",477475.3,477.4753,0
"0","9113",493204.1,493.2041,0
"0","20",493205.1,493.2051,0
"0","40",504185.9,504.1859,0
"move epoch: 2cm cube","62",504834.5,504.8345,0
"0","8013",504834.5,504.8345,0
"0","7",504827,504.827,0
"trial finished okay","80",504828,504.828,0
"experimenter confirmed","90",477475.3,477.4753,0
"0","9114",508783.9,508.7839,0
"0","20",508784.9,508.7849,0
"0","40",521048.8,521.0488,0
"move epoch: 3cm cube","63",523863.2,523.8632,0
"0","8014",523863.2,523.8632,0
"0","7",523855,523.855,0
"trial finished okay","80",523856,523.856,0
"experimenter confirmed","90",527530.7,527.5307,0
"0","9115",551901.6,551.9016,0
"0","20",551902.6,551.9026,0
"0","40",563872.4,563.8724,0
"move epoch: 2cm cube","62",564472.3,564.4723,0
"0","8015",564472.3,564.4723,0
"0","7",564451,564.451,0
"trial finished okay","80",564452,564.452,0
"experimenter confirmed","90",568171.5,568.1715,0
"0","9116",568317.2,568.3172,0
"0","20",568318.2,568.3182,0
"0","40",581418.5,581.4185,0
"move epoch: 1cm cube","61",582151.6,582.1516,0
"0","8016",582151.6,582.1516,0
"0","7",582131,582.131,0
"trial finished okay","80",582132,582.132,0
"experimenter confirmed","90",568171.5,568.1715,0
