"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
1,"41",773.9,764,28,776.7,769.8,22.1,759,751.2,16.9,754.3,743.9,20.3,805.7,765.9,70.2,807.6,762,74.2,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,769.4,752.2,46.9,761.8,746.1,44.1
2,"41",773.9,763.9,28,776.8,769.8,22.3,758.7,750.9,17.2,753.9,743.5,20.4,805.5,765.3,70.4,807.3,761.4,74.4,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,768.8,751.4,47.2,761.2,745.3,44.4
3,"41",774,764,28.1,777,770,22.5,758.4,750.6,17.5,753.4,743.1,20.5,805.2,764.7,70.7,807,760.7,74.5,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,768.2,750.6,47.5,760.5,744.4,44.8
4,"41",774.2,764.3,28.2,777.3,770.4,22.8,758.1,750.2,17.7,753,742.7,20.6,804.8,764,70.9,806.7,760,74.7,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,767.6,749.7,47.8,759.9,743.6,45.1
5,"41",774.4,764.6,28.5,777.6,770.9,23.1,757.7,749.9,18,752.6,742.2,20.7,804.4,763.3,71.2,806.3,759.2,75,480.8,547.9,-2.1,489,553.8,-1.8,554.3,773.3,43.5,544.5,766.3,41.1,767,748.9,48,759.3,742.7,45.4
6,"41",774.6,765,28.8,777.9,771.5,23.6,757.4,749.5,18.4,752.2,741.8,20.9,803.9,762.4,71.6,805.8,758.4,75.3,480.8,547.9,-2.1,489,553.8,-1.8,554.3,773.3,43.5,544.5,766.3,41.1,766.3,748,48.3,758.7,741.8,45.6
7,"41",774.8,765.5,29.2,778.3,772.2,24.2,757.1,749.1,18.7,751.9,741.4,21,803.4,761.6,72,805.2,757.5,75.6,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,765.7,747.2,48.5,758.1,741,45.9
8,"41",775.1,766,30,778.6,772.9,25.2,756.9,748.8,19.2,751.5,741,21.2,802.8,760.6,72.5,804.6,756.4,76.1,480.8,547.9,-2.1,489,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,765.2,746.3,48.8,757.5,740.1,46.1
9,"41",775.2,766.4,31.2,778.9,773.4,26.6,756.6,748.4,19.7,751.2,740.5,21.5,802.2,759.5,73.1,804,755.3,76.6,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,764.6,745.4,49.2,757,739.2,46.4
10,"41",775.2,766.6,32.8,779,773.7,28.3,755.6,747.5,21,750.3,739.7,22.8,801.5,758.2,73.9,803.3,754,77.3,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,763.9,744.3,50.2,756.3,738,47.4
11,"41",775.1,766.5,34.5,779,773.7,30.2,754,745.8,23.1,748.8,738,24.8,800.9,756.9,74.9,802.7,752.6,78.2,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,762.9,742.7,51.9,755.2,736.4,49.1
12,"41",774.8,766.1,36.4,778.8,773.4,32.4,752.3,743.9,25.4,747.1,736.1,27,800.2,755.3,76.1,801.9,751,79.2,480.8,547.9,-2.2,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,761.6,740.8,53.8,753.9,734.4,51.1
13,"41",774.4,765.5,38.7,778.4,773,34.8,750.6,741.9,27.7,745.5,734.1,29.2,799.2,753.4,77.4,801,749.1,80.3,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,760.3,738.6,55.6,752.6,732.3,52.9
14,"41",773.8,764.7,41.2,777.9,772.3,37.7,748.9,739.9,29.9,744,732,31.1,798.1,751.3,78.7,800,747,81.4,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,759,736.4,57.3,751.3,730.1,54.6
15,"41",773.2,763.8,43.9,777.3,771.6,40.6,747.2,737.8,31.9,742.3,730,33,797,749.3,80,798.9,745,82.4,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,757.6,734.2,59,749.9,727.9,56.3
16,"41",772.5,762.8,46.4,776.6,770.6,43.3,745.5,735.8,34,740.8,727.9,34.9,795.9,747.4,81.3,797.8,743.1,83.6,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,756.2,732.1,60.6,748.5,725.7,57.9
17,"41",771.6,761.7,48.6,775.8,769.6,45.6,743.9,733.8,35.9,739.2,726,36.8,794.8,745.8,82.7,796.8,741.4,84.8,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.5,544.5,766.3,41.1,754.9,730.1,62.2,747.2,723.8,59.5
18,"41",770.7,760.6,50.4,774.8,768.5,47.4,742.4,732.1,37.7,737.8,724.3,38.5,793.8,744.5,84.2,795.8,740.1,86.3,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,753.7,728.6,63.9,746,722.1,61.2
19,"41",769.6,759.4,51.8,773.7,767.4,48.9,741,730.7,39.5,736.4,722.9,40.3,792.8,743.3,85.8,794.8,738.9,87.8,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,752.4,727.2,65.6,744.8,720.8,63
20,"41",768.4,758.3,53.1,772.5,766.3,50.2,739.5,729.4,41.3,735,721.5,42.2,791.6,742.3,87.5,793.6,737.8,89.5,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,751.2,726.1,67.4,743.5,719.7,64.8
21,"41",767,757.2,54.4,771.2,765.1,51.4,737.9,728,43.2,733.3,720.2,44.1,790.2,741.2,89.3,792.3,736.8,91.5,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,749.8,725,69.2,742.1,718.5,66.7
22,"41",765.5,756,55.8,769.6,763.8,52.8,735.9,726.5,45.3,731.4,718.6,46.3,788.7,740,91.3,790.7,735.7,93.6,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,748.1,723.7,71.3,740.4,717.2,68.8
23,"41",763.7,754.5,57.5,767.9,762.5,54.4,733.7,724.7,47.6,729.2,716.9,48.7,786.9,738.7,93.5,788.9,734.4,95.8,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,746.2,722.3,73.5,738.5,715.7,71.1
24,"41",761.7,753,59.3,765.9,760.9,56.3,731.1,722.7,50.2,726.7,714.8,51.2,784.9,737.1,95.7,786.9,732.7,98,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,744.1,720.6,75.8,736.3,714,73.5
25,"41",759.4,751.3,61.3,763.7,759.2,58.2,728.3,720.4,52.7,723.9,712.7,53.9,782.6,735.4,98,784.7,731,100.4,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,741.7,718.8,78.3,733.9,712.1,76.1
26,"41",757,749.3,63.4,761.3,757.2,60.2,725.2,718,55.4,720.9,710.3,56.5,780.1,733.5,100.5,782.2,729.2,102.8,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,739.1,716.8,80.8,731.3,710.1,78.7
27,"41",754.2,747.2,65.3,758.6,755,62.1,721.9,715.4,58,717.7,707.7,59.2,777.4,731.5,102.8,779.5,727.2,105.2,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,736.2,714.6,83.3,728.4,707.9,81.2
28,"41",751.4,744.9,67.2,755.7,752.7,63.9,718.5,712.8,60.5,714.4,705,61.8,774.5,729.3,105.2,776.5,725,107.7,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,733.2,712.4,85.7,725.4,705.5,83.7
29,"41",748.2,742.5,68.6,752.6,750.3,65.3,715,710,62.8,710.9,702.3,64,771.3,727.1,107.6,773.4,722.8,110,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,729.9,710,88,722.1,703.1,86.1
30,"41",744.9,739.9,69.9,749.3,747.7,66.5,711.2,707.1,65,707.2,699.5,66.5,768,724.7,109.8,770,720.5,112.4,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,726.5,707.5,90.2,718.6,700.6,88.4
31,"41",741.4,737.2,71,745.8,744.9,67.5,707.3,704.2,67.1,703.3,696.5,68.5,764.3,722.3,112,766.4,718.1,114.6,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,722.8,704.9,92.3,715,698,90.5
32,"41",737.8,734.5,71.9,742.3,742.2,68.3,703,701.1,69.1,699.1,693.5,70.7,760.5,719.9,114,762.6,715.7,116.7,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,718.9,702.3,94.2,711.1,695.3,92.5
33,"41",734.1,731.9,72.9,738.6,739.5,69.2,698.6,697.9,70.9,694.7,690.4,72.7,756.5,717.4,115.9,758.5,713.2,118.8,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,714.8,699.6,96,707,692.6,94.4
34,"41",730.3,729.2,73.7,734.9,736.8,70,694,694.6,72.6,690.2,687.1,74.5,752.4,714.8,117.7,754.4,710.6,120.6,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.4,766.3,41.1,710.6,696.8,97.7,702.8,689.8,96.1
35,"41",726.4,726.5,74.6,731.1,734.1,70.8,689.3,691.4,74.3,685.7,683.8,76.1,748.1,712.1,119.4,750.1,707.9,122.4,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.4,766.3,41.1,706.3,694,99.2,698.5,686.9,97.8
36,"41",722.3,723.7,75.4,727.1,731.3,71.6,684.4,688,75.9,680.8,680.6,77.9,743.7,709.4,121.1,745.6,705.2,124.2,480.8,547.9,-2.1,488.9,553.8,-1.8,554.2,773.3,43.6,544.5,766.3,41.1,701.8,691.2,100.7,694,684,99.4
