"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
1,"47",774.3,762.1,28.8,777.4,768.4,23.5,758.5,749,15.8,754,741.9,19.6,804.9,763.7,69.3,806.5,759.6,73.3,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,769.2,750.7,45.9,761.7,744.8,42.8
2,"47",774.5,762.6,29.2,777.7,769,23.9,758.3,748.9,15.9,753.8,741.7,19.6,804.5,763.1,69.6,806.1,759,73.7,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,768.7,750.2,46.2,761.2,744.3,43
3,"47",774.7,763.2,29.8,778,769.7,24.6,758.2,748.7,16,753.5,741.5,19.6,804,762.5,70.1,805.6,758.3,74.1,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,768.2,749.6,46.4,760.7,743.7,43.3
4,"47",774.8,763.7,30.6,778.3,770.3,25.6,758,748.5,16.2,753.1,741.3,19.7,803.3,761.6,70.7,804.9,757.4,74.7,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,767.6,749,46.7,760,743,43.6
5,"47",774.9,764.1,31.7,778.6,770.9,26.9,757.7,748.3,16.4,752.8,741,19.8,802.5,760.5,71.4,804,756.3,75.4,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,766.9,748.1,47.1,759.3,742.2,44
6,"47",774.8,764.3,33.2,778.7,771.2,28.4,757.4,747.9,16.7,752.3,740.5,19.9,801.5,759.3,72.2,803,755,76.2,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,766,747.2,47.5,758.5,741.3,44.4
7,"47",774.6,764.2,34.7,778.6,771.3,30.2,757.1,747.6,17.1,751.8,740.1,20,800.5,757.9,73.1,801.9,753.7,77,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,765.1,746.2,48,757.5,740.3,44.9
8,"47",774.3,764,36.4,778.3,771.2,31.9,756.6,747.2,17.7,751.3,739.6,20.4,799.5,756.7,74.1,800.8,752.4,78,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,764.2,745.1,48.6,756.6,739.2,45.5
9,"47",773.8,763.7,37.9,778,771,33.6,756.1,746.6,18.5,750.6,739,21.1,798.4,755.5,75.2,799.7,751.1,78.9,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,763.2,744.1,49.4,755.6,738.2,46.3
10,"47",773.3,763.4,39.6,777.5,770.7,35.3,753.8,745.3,20.7,748.5,737.6,23.2,797.4,754.4,76.4,798.8,750,80.2,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.7,766.5,41,761.9,743,51,754.3,737,48
11,"47",772.6,762.9,41.3,776.9,770.3,37.2,751,743.2,23.3,745.8,735.6,25.9,796.5,753.4,78,797.8,748.9,81.6,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.7,766.5,41,760.3,741.5,53.1,752.6,735.4,50.4
12,"47",771.8,762.4,43.1,776.1,769.8,39,748.6,741.2,25.8,743.5,733.7,28.4,795.4,752.3,79.6,796.7,747.8,83.2,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.7,766.5,41,758.7,740,55.3,750.9,733.8,52.7
13,"47",770.8,761.5,44.9,775.1,769,40.9,746.6,739.6,28.2,741.6,732,30.8,794.2,751,81.4,795.6,746.6,85,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.7,766.5,41,757.2,738.6,57.4,749.4,732.3,54.9
14,"47",769.5,760.5,47.1,773.9,768,43.1,744.8,738.2,30.7,739.8,730.7,33.3,793.1,749.9,83.4,794.5,745.4,86.9,481,548.1,-2.2,489.2,554,-1.9,554.5,773.5,43.4,544.8,766.5,41,755.8,737.3,59.6,748,731,57.2
