"translation","V1","V2","TimeSec","TimeAbsolute"
"2cm",62,157647.6,157.6476,0
"4cm",63,258824.8,258.8248,0
"4cm",63,300632,300.632,0
"1cm",61,318178,318.178,0
"1cm",61,340606.3,340.6063,0
"4cm",63,388028.9,388.0289,0
"2cm",62,406708,406.708,0
"4cm",63,422521.1,422.5211,0
"1cm",61,439099,439.099,0
"2cm",62,455930.2,455.9302,0
"4cm",63,473076.3,473.0763,0
"2cm",62,488806.1,488.8061,0
"2cm",62,504834.5,504.8345,0
"4cm",63,523863.2,523.8632,0
"2cm",62,564472.3,564.4723,0
"1cm",61,582151.6,582.1516,0
"2cm",62,599414.4,599.4144,0
"1cm",61,617477,617.477,0
"4cm",63,636739.3,636.7393,0
"2cm",62,653852.1,653.8521,0
"4cm",63,672481.2,672.4812,0
"1cm",61,688177.7,688.1777,0
"1cm",61,704522.7,704.5227,0
"1cm",61,721386.8,721.3868,0
"1cm",61,737099.9,737.0999,0
"1cm",61,752713.1,752.7131,0
"4cm",63,773341.7,773.3417,0
"4cm",63,819845.7,819.8457,0
"1cm",61,831678.5,831.6785,0
"2cm",62,842392.8,842.3928,0
"2cm",62,852923.7,852.9237,0
"2cm",62,863104.8,863.1048,0
"2cm",62,873719,873.719,0
"4cm",63,885832.9,885.8329,0
"4cm",63,896380.6,896.3806,0
"1cm",61,905978.4,905.9784,0
"1cm",61,916575.9,916.5759,0
"1cm",61,925923.9,925.9239,0
"4cm",63,936121.5,936.1215,0
"2cm",62,946202.6,946.2026,0
"2cm",62,954931.8,954.9318,0
"2cm",62,964898.4,964.8984,0
"1cm",61,974912.8,974.9128,0
"4cm",63,985593.7,985.5937,0
"4cm",63,995008.2,995.0082,0
"4cm",63,1004622.7,1004.6227,0
"1cm",61,1015535.8,1015.5358,0
"1cm",61,1025718,1025.718,0
"4cm",63,1036965.4,1036.9654,0
"2cm",62,1047813,1047.813,0
"1cm",61,1057260.8,1057.2608,0
"1cm",61,1478815.5,1478.8155,0
"4cm",63,1497811.2,1497.8112,0
"4cm",63,1506892.4,1506.8924,0
"2cm",62,1515107.3,1515.1073,0
"1cm",61,1522838.9,1522.8389,0
"1cm",61,1532753.3,1532.7533,0
"4cm",63,1540100.5,1540.1005,0
"2cm",62,1546750.1,1546.7501,0
"2cm",62,1554548.4,1554.5484,0
"2cm",62,1561613.4,1561.6134,0
"4cm",63,1568895.1,1568.8951,0
"1cm",61,1576693.3,1576.6933,0
"1cm",61,1584524.9,1584.5249,0
"1cm",61,1592139.9,1592.1399,0
"4cm",63,1600853.2,1600.8532,0
"4cm",63,1610185.8,1610.1858,0
"1cm",61,1617850.7,1617.8507,0
"2cm",62,1625498.9,1625.4989,0
"2cm",62,1633497.2,1633.4972,0
"4cm",63,1641028.8,1641.0288,0
"2cm",62,1648460.4,1648.4604,0
"4cm",63,1659957.9,1659.9579,0
"1cm",61,1667722.8,1667.7228,0
"2cm",62,1674687.9,1674.6879,0
"4cm",63,1718661.2,1718.6612,0
"4cm",63,1729392.1,1729.3921,0
"4cm",63,1740273,1740.273,0
"1cm",61,1750937.3,1750.9373,0
"4cm",63,1764298.8,1764.2988,0
"2cm",62,1775598.4,1775.5984,0
"2cm",62,1785812.7,1785.8127,0
"2cm",62,1796527,1796.527,0
"2cm",62,1833016.4,1833.0164,0
"1cm",61,1844449.5,1844.4495,0
"2cm",62,1855463.6,1855.4636,0
"2cm",62,1865977.9,1865.9779,0
"2cm",62,1876758.8,1876.7588,0
"2cm",62,1887423.1,1887.4231,0
"1cm",61,1898920.5,1898.9205,0
"1cm",61,1910201.3,1910.2013,0
"4cm",63,1922398.5,1922.3985,0
"4cm",63,1933945.9,1933.9459,0
"1cm",61,1945759.9,1945.7599,0
"4cm",63,1957557.2,1957.5572,0
"1cm",61,1969335.6,1969.3356,0
"4cm",63,1980818.6,1980.8186,0
"1cm",61,1991949.4,1991.9494,0
"1cm",61,2002313.8,2002.3138,0
