"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
1,"13",783.2,767.2,28.9,785.6,773.5,24.1,760.3,751.2,19.1,756.1,743.7,20.5,811.5,765.7,69.4,812.7,761,72.8,480.8,547.3,-2.2,488.9,553.2,-1.9,555,773.4,43,545.2,766.4,40.6,774.3,753.1,44.3,766.6,745.9,42.9
2,"13",783.1,767,29.7,785.6,773.5,25,760.1,750.9,19.4,755.9,743.4,20.7,811.1,764.7,69.8,812.3,759.9,73.1,480.8,547.3,-2.2,488.9,553.2,-1.9,555,773.4,43,545.2,766.4,40.6,774,752.5,44.6,766.3,745.3,43.3
3,"13",783,766.9,30.5,785.6,773.4,25.9,760,750.7,19.9,755.7,743.2,21.1,810.7,763.8,70.2,811.9,759,73.4,480.8,547.3,-2.2,488.9,553.2,-1.9,555,773.4,43,545.2,766.4,40.7,773.7,752,45,766.1,744.8,43.7
4,"13",783,766.7,31.2,785.7,773.3,26.7,760,750.6,20.4,755.6,743,21.5,810.4,762.9,70.6,811.5,758.1,73.8,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,773.6,751.5,45.5,765.8,744.3,44.1
5,"13",782.9,766.6,32,785.7,773.3,27.6,760,750.6,21.3,755.6,743,22.2,810.1,762.1,71.1,811.2,757.2,74.2,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,773.4,751,46.2,765.6,743.8,44.8
6,"13",782.9,766.4,33,785.7,773.1,28.6,760,750.6,22.6,755.4,743,23.4,809.9,761.3,71.8,810.9,756.4,74.8,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,773.1,750.5,47.3,765.4,743.3,45.9
7,"13",782.8,766.1,34.2,785.6,772.9,29.9,759.7,750.2,23.9,755.1,742.7,24.6,809.7,760.4,72.6,810.7,755.4,75.5,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,772.9,749.8,48.4,765.1,742.7,47
8,"13",782.6,765.7,35.5,785.4,772.6,31.4,759.4,749.8,25.2,754.8,742.2,25.8,809.3,759.3,73.4,810.3,754.3,76.1,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,772.5,749,49.5,764.7,741.9,48.1
9,"13",782.3,765.2,36.9,785.2,772.2,32.8,759,749.3,26.5,754.4,741.7,27,808.8,758.2,74.2,809.8,753.2,76.8,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,772.1,748.2,50.6,764.3,741.1,49.2
10,"13",782,764.6,38.2,785,771.6,34.2,758.6,748.6,27.9,753.9,741,28.2,808.4,757.1,75,809.3,752,77.5,480.8,547.3,-2.2,488.9,553.2,-1.9,554.9,773.3,43,545.2,766.3,40.7,771.6,747.3,51.8,763.8,740.2,50.3
