"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
74,"44",617.2,654.2,66.3,624.4,660.7,62.5,555.1,606.5,83.5,552.7,600,87.4,618.3,630.1,127,618.1,624.9,131.7,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,544.9,766.7,40.9,579.5,616.8,104.1,571.4,609.8,104.6
75,"44",614.7,652.6,65.2,621.9,659.1,61.5,552.4,605,82.3,550,598.5,86.1,615.3,628.5,126.1,615.1,623.2,130.8,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,544.9,766.6,40.9,576.7,615.4,102.9,568.7,608.3,103.5
76,"44",612.3,651.1,64.1,619.5,657.5,60.4,549.8,603.6,81.1,547.3,597.2,85,612.5,626.9,125.2,612.2,621.6,129.9,481.1,548.2,-2.3,489.3,554,-2,554.6,773.7,43.3,544.9,766.6,40.9,574,613.9,101.7,566,606.9,102.3
77,"44",610,649.7,63.1,617.3,656.1,59.5,547.3,602.3,79.9,544.8,595.9,83.8,609.7,625.3,124.2,609.4,620.1,129,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.9,766.6,40.9,571.5,612.6,100.6,563.4,605.5,101.1
78,"44",607.8,648.4,62.1,615.1,654.8,58.4,544.9,601,78.6,542.4,594.6,82.4,607.1,623.8,123.3,606.7,618.6,128.1,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,569,611.3,99.3,561,604.3,99.8
79,"44",605.8,647.2,61,613.1,653.6,57.4,542.6,599.9,77.2,540.1,593.5,81.1,604.5,622.5,122.3,604.1,617.1,127.1,481.1,548.1,-2.3,489.2,554,-2,554.5,773.6,43.4,544.8,766.5,40.9,566.7,610.1,98.1,558.6,603.1,98.6
80,"44",603.8,646,59.8,611.2,652.4,56.3,540.6,598.9,75.9,538,592.4,79.8,602.2,621.1,121.3,601.7,615.8,126.2,481,548.1,-2.3,489.2,554,-2,554.5,773.5,43.4,544.8,766.5,40.9,564.5,609,96.9,556.5,602,97.3
81,"44",602,644.8,58.7,609.4,651.2,55.1,538.7,598,74.4,536.1,591.6,78.4,599.9,620,120.4,599.4,614.6,125.2,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.4,544.8,766.5,40.9,562.5,608,95.6,554.4,601,96
82,"44",600.2,643.8,57.5,607.6,650.1,53.9,537,597.2,72.9,534.4,590.7,76.8,597.8,618.9,119.4,597.2,613.5,124.2,481.1,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.4,544.8,766.5,40.9,560.6,607.1,94.3,552.5,600.1,94.6
83,"44",598.5,642.7,56.2,606,649,52.7,535.4,596.5,71.2,532.8,590,75.1,595.8,617.9,118.3,595.2,612.5,123.2,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.6,43.3,544.8,766.5,40.9,558.9,606.2,92.8,550.8,599.3,93.1
84,"44",597,641.6,54.7,604.4,647.9,51.3,534.1,595.9,69.4,531.3,589.4,73.3,593.9,616.9,117.2,593.2,611.5,122.1,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.6,43.3,544.8,766.5,40.9,557.2,605.5,91.3,549.1,598.5,91.5
85,"44",595.6,640.6,53.3,603.1,646.9,49.9,532.9,595.4,67.4,530.1,589,71.5,592.1,615.9,116,591.3,610.5,121,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.9,766.5,40.9,555.8,604.8,89.6,547.7,597.9,89.8
86,"44",594.5,639.8,51.9,602,646.1,48.5,531.9,595,65.4,529,588.5,69.4,590.4,615.1,114.8,589.6,609.7,119.9,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.9,766.6,40.9,554.5,604.2,87.9,546.4,597.3,88
87,"44",593.5,639.2,50.5,601,645.4,47.2,531,594.7,63.4,528.1,588.2,67.4,588.9,614.4,113.6,588,608.9,118.7,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.9,766.6,40.9,553.3,603.7,86.3,545.2,596.9,86.2
88,"44",592.6,638.7,49.1,600.2,644.9,45.8,530.3,594.6,61.4,527.3,588,65.4,587.5,613.7,112.4,586.5,608.3,117.6,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.9,766.6,40.9,552.3,603.3,84.5,544.2,596.5,84.4
89,"44",591.9,638.2,47.8,599.5,644.4,44.5,529.8,594.4,59.4,526.7,587.8,63.3,586.2,613.1,111.3,585.2,607.7,116.4,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,551.4,602.9,82.8,543.3,596.2,82.6
90,"44",591.2,637.7,46.5,598.8,643.9,43.3,529.4,594.4,57.4,526.2,587.7,61.3,585,612.6,110.1,583.9,607.1,115.3,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,550.7,602.7,81.1,542.5,595.9,80.8
91,"44",590.6,637.3,45.2,598.3,643.4,42,529.1,594.4,55.4,525.9,587.8,59.3,584,612,109,582.8,606.5,114.2,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.6,40.9,550,602.5,79.5,541.9,595.8,79.1
