"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
1,"15",790.3,772.7,34.4,793.8,780.2,30.9,760.4,749.5,20.7,756.8,741.9,20.9,812.4,759.8,68.9,812.9,754.5,71.7,481.5,548.4,-2.4,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,776.9,751.2,42.8,769.3,744,41.2
2,"15",790.3,772.5,35.7,793.9,780.1,32.3,760.8,749.8,21.5,757.1,742.1,21.5,812,758.7,69.6,812.6,753.3,72.2,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,776.9,750.8,43.7,769.2,743.6,42.1
3,"15",790.2,772,37,793.8,779.7,33.8,761.1,750,23,757.2,742.3,23,811.8,757.6,70.5,812.3,752.1,73,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,776.8,750.3,45.1,769.1,743.2,43.3
4,"15",790,771.2,38.6,793.6,778.9,35.5,761,749.6,24.7,757,741.9,24.5,811.5,756.3,71.5,811.9,750.7,73.7,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,776.5,749.5,46.6,768.9,742.4,44.8
5,"15",789.6,770.2,40.4,793.2,778,37.4,760.5,748.8,26.6,756.5,741.1,26.3,811,754.8,72.5,811.5,749.1,74.6,481.5,548.4,-2.4,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,776.1,748.3,48.2,768.4,741.3,46.4
6,"15",789,768.9,42.3,792.7,776.7,39.4,760,747.7,28.6,756,740,28.2,810.5,753,73.6,811,747.4,75.5,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,775.5,746.9,49.9,767.8,739.9,48.1
7,"15",788.3,767.3,44.3,792,775.2,41.6,759.4,746.5,30.8,755.2,738.8,30.3,809.9,751.2,74.8,810.3,745.5,76.5,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,774.8,745.3,51.7,767.1,738.3,49.9
8,"15",787.5,765.6,46.4,791.2,773.6,43.9,758.5,744.9,33,754.3,737.3,32.3,809.2,749.3,76.1,809.7,743.5,77.6,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.5,767.2,40.5,774,743.5,53.6,766.2,736.5,51.8
9,"15",786.6,764,48.6,790.3,772,46.2,757.3,743.1,35.2,753.2,735.6,34.4,808.5,747.5,77.4,809.1,741.8,78.8,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.2,42.9,545.4,767.2,40.5,773,741.7,55.6,765.3,734.6,53.8
10,"15",785.7,762.6,50.8,789.4,770.5,48.4,756.1,741.3,37.6,752,733.6,36.6,807.9,745.9,78.9,808.5,740.2,80.1,481.5,548.4,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.2,40.5,772,739.8,57.7,764.2,732.7,55.9
11,"15",784.9,761.3,53,788.5,769.2,50.7,754.8,739.5,40.1,750.7,731.9,39,807.2,744.4,80.4,807.8,738.8,81.6,481.5,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,770.9,738.1,59.9,763.1,731,58.1
12,"15",783.9,760.1,55.2,787.5,768,52.8,753.4,737.9,42.5,749.3,730.3,41.5,806.4,743.1,82.1,807.1,737.5,83.1,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,769.8,736.6,62,762,729.4,60.4
13,"15",782.8,759,57.1,786.4,767,54.8,752,736.3,44.8,747.9,728.8,43.7,805.5,742.1,83.9,806.2,736.4,84.8,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,768.6,735.2,64.2,760.8,728.1,62.6
14,"15",781.6,757.9,58.7,785.2,766,56.5,750.5,735,47.1,746.5,727.4,46,804.4,741.2,85.9,805.3,735.4,86.6,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,767.3,734,66.4,759.5,726.8,64.9
15,"15",780.2,756.9,60.5,783.9,765.1,58.3,748.9,733.6,49.5,744.8,726.1,48.5,803.2,740.3,88,804.1,734.6,88.8,481.4,548.3,-2.3,489.6,554.2,-2,555.2,774.1,42.9,545.4,767.1,40.5,765.9,732.9,68.7,758,725.6,67.3
16,"15",778.7,756,62.5,782.4,764.1,60.2,747.1,732.2,52,743.1,724.5,51,801.8,739.3,90.2,802.7,733.8,91.2,481.4,548.3,-2.3,489.6,554.2,-2,555.2,774.1,42.9,545.4,767.1,40.5,764.3,731.7,71.1,756.5,724.4,69.8
17,"15",777.1,755.1,64.6,780.8,763.2,62.3,745.1,730.7,54.7,740.9,723.1,53.9,800.3,738.4,92.6,801.1,732.8,93.6,481.4,548.3,-2.3,489.6,554.2,-2,555.2,774.1,42.9,545.4,767.1,40.5,762.5,730.4,73.7,754.7,723.1,72.5
18,"15",775.2,754.1,67,779,762,64.5,742.9,729,57.6,738.7,721.4,56.8,798.6,737.3,95.1,799.4,731.7,96.1,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,760.5,729.1,76.5,752.7,721.7,75.3
19,"15",773.2,752.7,69.3,777,760.8,66.8,740.5,727.3,60.6,736.4,719.7,59.9,796.7,736,97.8,797.6,730.4,98.8,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,42.9,545.4,767.1,40.5,758.4,727.6,79.5,750.6,720.2,78.3
20,"15",771,751.5,72,774.8,759.5,69.4,738,725.5,63.7,734,717.9,63,794.6,734.7,100.6,795.6,729.1,101.5,481.4,548.3,-2.3,489.6,554.3,-2,555.2,774.1,43,545.4,767.1,40.5,756.1,726,82.4,748.3,718.6,81.4
21,"15",768.6,750,74.7,772.4,758,72.1,735.4,723.6,66.8,731.3,716,66.3,792.3,733.3,103.4,793.4,727.8,104.5,481.5,548.3,-2.3,489.6,554.3,-2,555.2,774.1,43,545.4,767.1,40.5,753.6,724.3,85.5,745.8,716.8,84.5
