Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-324.464599609,256.053497314,-2124.285400391,-332.969177246,256.244018555,-2125.256347656,-322.312927246,239.261306763,-2130.358642578,-330.820739746,244.955368042,-2134.193359375,-250.705413818,260.213775635,-2129.642578125,,,,-332.658416748,-27.698350906,-2144.453125000,-331.666320801,-18.942926407,-2144.972167969,,,,,,,-304.404113770,235.234283447,-2129.291992188,-293.671386719,233.505538940,-2127.570800781,
2,-322.709808350,255.233291626,-2123.252685547,-331.246520996,255.523941040,-2124.225341797,-320.557556152,237.893539429,-2129.039794922,-329.131439209,243.441802979,-2132.842041016,-249.027725220,259.236022949,-2129.027832031,,,,-332.655853271,-27.700973511,-2144.448974609,-331.660766602,-18.943470001,-2144.960449219,,,,,,,-302.610168457,234.041625977,-2127.965576172,-291.863037109,232.431869507,-2126.302246094,
3,-320.592102051,254.155151367,-2122.090332031,-329.132659912,254.498886108,-2122.936035156,-318.522308350,236.173156738,-2127.544433594,-327.142944336,241.546371460,-2131.382324219,-247.096038818,258.029693604,-2128.474121094,,,,-332.654296875,-27.707338333,-2144.450195313,-331.660888672,-18.946056366,-2144.956542969,,,,,,,-300.525115967,232.526550293,-2126.539306641,-289.745635986,231.041503906,-2124.909423828,
4,-318.201812744,252.789627075,-2120.817871094,-326.754760742,253.196792603,-2121.569335938,-316.224395752,234.137054443,-2125.899658203,-324.946655273,239.360244751,-2129.865234375,-244.920806885,256.592559814,-2127.762451172,,,,-332.659637451,-27.709709167,-2144.462890625,-331.662231445,-18.946941376,-2144.953369141,,,,,,,-298.178863525,230.729385376,-2125.041503906,-287.382446289,229.382369995,-2123.462402344,
5,-315.581604004,251.042129517,-2119.394775391,-324.137939453,251.477859497,-2120.023437500,-313.755187988,231.891937256,-2124.346435547,-322.563964844,236.949371338,-2128.308837891,-242.602157593,254.994522095,-2126.937255859,,,,-332.660919189,-27.712720871,-2144.471191406,-331.662017822,-18.950328827,-2144.952636719,,,,,,,-295.663330078,228.713195801,-2123.469970703,-284.840148926,227.519210815,-2121.967529297,
6,-312.822204590,248.971542358,-2118.056396484,-321.380615234,249.407119751,-2118.536132813,-311.182495117,229.527908325,-2122.695312500,-320.032073975,234.422088623,-2126.633300781,-240.209472656,253.213821411,-2125.953369141,,,,-332.656768799,-27.713054657,-2144.476562500,-331.659576416,-18.949764252,-2144.958007813,,,,,,,-293.052459717,226.567733765,-2121.911865234,-282.204956055,225.506546021,-2120.454101563,
7,-310.108703613,246.636718750,-2116.783691406,-318.657867432,247.072128296,-2117.228759766,-308.570709229,227.054382324,-2121.030517578,-317.479736328,231.805816650,-2124.996826172,-237.790039063,251.317367554,-2124.886230469,,,,-332.658111572,-27.713060379,-2144.486328125,-331.659912109,-18.948766708,-2144.962158203,,,,,,,-290.411590576,224.279602051,-2120.274658203,-279.552093506,223.346878052,-2118.862060547,
8,-307.516662598,244.060348511,-2115.653076172,-316.067321777,244.468460083,-2116.000000000,-306.001708984,224.406265259,-2119.355224609,-314.966705322,229.003982544,-2123.350341797,-235.459701538,249.264724731,-2123.649414063,,,,-332.657897949,-27.711145401,-2144.482421875,-331.661041260,-18.944305420,-2144.968017578,,,,,,,-287.819824219,221.817626953,-2118.554931641,-276.940399170,221.017044067,-2117.164550781,
9,-305.078430176,241.271224976,-2114.505615234,-313.654785156,241.663177490,-2114.863525391,-303.547485352,221.496231079,-2117.669433594,-312.537231445,225.928268433,-2121.746826172,-233.231216431,247.046890259,-2122.190917969,,,,-332.656097412,-27.709012985,-2144.487304688,-331.660125732,-18.942296982,-2144.969482422,,,,,,,-285.320434570,219.126281738,-2116.790039063,-274.435668945,218.481491089,-2115.388183594,
10,-302.921081543,238.278793335,-2113.593017578,-311.470367432,238.639755249,-2113.944580078,-301.191619873,218.242111206,-2115.948974609,-310.234161377,222.449478149,-2120.078613281,-231.216690063,244.607971191,-2120.699218750,,,,-332.652923584,-27.706724167,-2144.489746094,-331.658782959,-18.940078735,-2144.970458984,,,,,,,-282.936553955,216.130966187,-2114.985595703,-272.056457520,215.671844482,-2113.558593750,
11,-300.981750488,235.047119141,-2112.739990234,-309.549530029,235.388900757,-2113.125976563,-298.992736816,214.554641724,-2114.192871094,-308.082000732,218.537109375,-2118.459228516,-229.398117065,241.958892822,-2119.081298828,,,,-332.655700684,-27.705049515,-2144.486328125,-331.659210205,-18.938371658,-2144.970214844,,,,,,,-280.705047607,212.770401001,-2113.058105469,-269.818115234,212.528182983,-2111.597656250,
12,-299.359100342,231.571548462,-2112.050292969,-307.910339355,231.892318726,-2112.479736328,-296.969573975,210.469390869,-2112.545410156,-306.090820313,214.182601929,-2116.899414063,-227.821044922,239.039382935,-2117.314697266,,,,-332.659576416,-27.705673218,-2144.476074219,-331.664581299,-18.938293457,-2144.960205078,,,,,,,-278.675628662,209.088943481,-2111.231689453,-267.796508789,209.083877563,-2109.659423828,
13,-298.008514404,227.894744873,-2111.386962891,-306.570251465,228.213928223,-2111.957031250,-295.197357178,206.045547485,-2111.074218750,-304.342681885,209.451461792,-2115.544189453,-226.529632568,235.839843750,-2115.519531250,,,,-332.667236328,-27.707113266,-2144.477783203,-331.670410156,-18.937215805,-2144.953857422,,,,,,,-276.901184082,205.085174561,-2109.502929688,-266.033508301,205.352172852,-2107.813720703,
14,-296.910552979,223.994354248,-2110.810058594,-305.470672607,224.313812256,-2111.460693359,-293.693023682,201.283279419,-2109.768066406,-302.864837646,204.376525879,-2114.362792969,-225.509033203,232.351608276,-2113.798095703,,,,-332.669433594,-27.707544327,-2144.479003906,-331.672302246,-18.936536789,-2144.938476563,,,,,,,-275.391540527,200.773498535,-2107.906005859,-264.549835205,201.316070557,-2106.088378906,
15,-296.041534424,219.907089233,-2110.344482422,-304.606109619,220.251205444,-2111.121582031,-292.430755615,196.213256836,-2108.508300781,-301.594573975,199.029968262,-2113.261230469,-224.711227417,228.569625854,-2112.111328125,,,,-332.672576904,-27.707960129,-2144.476562500,-331.672637939,-18.934160233,-2144.925292969,,,,,,,-274.129089355,196.186767578,-2106.438720703,-263.326049805,197.018661499,-2104.459716797,
16,-295.342163086,215.651580811,-2109.864501953,-303.886077881,215.984649658,-2110.651611328,-291.334197998,191.000823975,-2107.392822266,-300.512115479,193.555145264,-2112.362792969,-224.071044922,224.486831665,-2110.477294922,,,,-332.674652100,-27.708217621,-2144.471191406,-331.675384521,-18.930864334,-2144.917480469,,,,,,,-273.072631836,191.410263062,-2105.097412109,-262.323883057,192.500289917,-2103.057861328,
17,-294.723114014,211.159423828,-2109.294433594,-303.250396729,211.483383179,-2110.055175781,-290.395782471,185.756179810,-2106.423828125,-299.566436768,188.095565796,-2111.531250000,-223.526550293,220.166748047,-2108.948242188,,,,-332.672058105,-27.707693100,-2144.476806641,-331.669372559,-18.930435181,-2144.911376953,,,,,,,-272.178100586,186.526184082,-2103.920898438,-261.472320557,187.805908203,-2101.751220703,
18,-294.099273682,206.407745361,-2108.669433594,-302.628997803,206.747009277,-2109.538085938,-289.582214355,180.564544678,-2105.536865234,-298.716217041,182.734939575,-2110.718017578,-222.990753174,215.650909424,-2107.500732422,,,,-332.665924072,-27.707149506,-2144.471923828,-331.665832520,-18.933109283,-2144.915283203,,,,,,,-271.399902344,181.587936401,-2102.806396484,-260.730133057,183.017425537,-2100.490722656,
19,-293.418457031,201.332977295,-2108.098632813,-301.948059082,201.650512695,-2109.031005859,-288.873321533,175.469894409,-2104.614257813,-297.973205566,177.542068481,-2109.917724609,-222.478790283,210.932647705,-2106.088378906,,,,-332.662292480,-27.708164215,-2144.469726563,-331.660980225,-18.936315536,-2144.931396484,,,,,,,-270.743377686,176.640579224,-2101.731445313,-260.094421387,178.171813965,-2099.284912109,
20,-292.698577881,195.912368774,-2107.475585938,-301.224365234,196.178436279,-2108.501220703,-288.305694580,170.433944702,-2103.766601563,-297.364471436,172.432662964,-2109.156738281,-222.007659912,206.081878662,-2104.750976563,,,,-332.662445068,-27.706796646,-2144.476318359,-331.663391113,-18.939395905,-2144.953613281,,,,,,,-270.210723877,171.683181763,-2100.657470703,-259.586822510,173.270874023,-2098.144042969,
21,-292.015136719,190.246078491,-2106.955810547,-300.528503418,190.441299438,-2108.040771484,-287.871215820,165.349716187,-2102.965576172,-296.893829346,167.301116943,-2108.464111328,-221.644027710,201.109436035,-2103.437500000,,,,-332.660064697,-27.706317902,-2144.476562500,-331.663391113,-18.941900253,-2144.961425781,,,,,,,-269.815856934,166.655700684,-2099.668945313,-259.222259521,168.278869629,-2097.104248047,
22,-291.481170654,184.471801758,-2106.588134766,-299.992218018,184.591110229,-2107.761718750,-287.574981689,160.158676147,-2102.273681641,-296.543151855,162.043624878,-2107.837646484,-221.449691772,196.059173584,-2102.274658203,,,,-332.655853271,-27.704982758,-2144.478027344,-331.658508301,-18.941366196,-2144.969238281,,,,,,,-269.563934326,161.507278442,-2098.770263672,-259.000396729,163.171401978,-2096.126464844,
23,-291.212188721,178.631103516,-2106.349121094,-299.711944580,178.671142578,-2107.622314453,-287.441223145,154.797790527,-2101.721923828,-296.353607178,156.625061035,-2107.385009766,-221.452072144,190.919784546,-2101.203613281,,,,-332.656433105,-27.702644348,-2144.472412109,-331.659484863,-18.940729141,-2144.971923828,,,,,,,-269.473236084,156.223556519,-2098.014404297,-258.941589355,157.937011719,-2095.265136719,
24,-291.232971191,172.779983521,-2106.333740234,-299.713226318,172.754364014,-2107.648437500,-287.474884033,149.271774292,-2101.290039063,-296.340118408,151.050109863,-2107.090087891,-221.663681030,185.675277710,-2100.218994141,,,,-332.658691406,-27.699226379,-2144.479248047,-331.662353516,-18.936664581,-2144.969238281,,,,,,,-269.551635742,150.773620605,-2097.401123047,-259.065704346,152.563110352,-2094.540527344,
25,-291.511383057,166.936279297,-2106.501464844,-299.974426270,166.859970093,-2107.958007813,-287.699340820,143.606307983,-2101.087402344,-296.516754150,145.324188232,-2107.008056641,-222.089141846,180.318267822,-2099.374755859,,,,-332.660217285,-27.695512772,-2144.474121094,-331.663696289,-18.931533813,-2144.958740234,,,,,,,-269.818786621,145.213592529,-2096.925781250,-259.384582520,147.046539307,-2093.973388672,
26,-291.983245850,161.133651733,-2106.789550781,-300.446563721,161.027770996,-2108.401855469,-288.113250732,137.832260132,-2101.028076172,-296.861022949,139.503280640,-2107.055908203,-222.707458496,174.859603882,-2098.646972656,,,,-332.660736084,-27.691734314,-2144.468505859,-331.661773682,-18.923898697,-2144.949951172,,,,,,,-270.286743164,139.534408569,-2096.682128906,-259.896606445,141.417648315,-2093.614746094,
27,-292.632598877,155.402847290,-2107.241455078,-301.083770752,155.286010742,-2108.936767578,-288.706268311,131.984191895,-2101.275634766,-297.366210938,133.616928101,-2107.386962891,-223.526077271,169.310852051,-2098.006835938,,,,-332.662994385,-27.686674118,-2144.471923828,-331.663055420,-18.916841507,-2144.937500000,,,,,,,-270.935699463,133.749298096,-2096.696289063,-260.594085693,135.687454224,-2093.519775391,
28,-293.470397949,149.768798828,-2107.876708984,-301.889343262,149.645095825,-2109.711669922,-289.426940918,126.056289673,-2101.785156250,-298.025146484,127.680610657,-2108.048828125,-224.500000000,163.696670532,-2097.580078125,,,,-332.667785645,-27.685758591,-2144.467529297,-331.666503906,-18.909545898,-2144.922607422,,,,,,,-271.736450195,127.894073486,-2096.927001953,-261.437042236,129.878509521,-2093.618164063,
29,-294.421234131,144.229110718,-2108.556640625,-302.812988281,144.134323120,-2110.457763672,-290.248992920,120.135108948,-2102.530761719,-298.765075684,121.754814148,-2108.932617188,-225.620483398,158.094833374,-2097.271484375,,,,-332.672485352,-27.682373047,-2144.468994141,-331.667053223,-18.904445648,-2144.904785156,,,,,,,-272.643341064,122.029304504,-2097.431640625,-262.391937256,124.045547485,-2093.904785156,
30,-295.486389160,138.803161621,-2109.341064453,-303.859863281,138.724182129,-2111.351562500,-291.127105713,114.269783020,-2103.490722656,-299.571380615,115.889305115,-2110.057373047,-226.810714722,152.544982910,-2097.114501953,,,,-332.668487549,-27.679821014,-2144.462402344,-331.665649414,-18.901838303,-2144.899902344,,,,,,,-273.621520996,116.226928711,-2098.112548828,-263.431610107,118.265480042,-2094.406005859,
31,-296.632659912,133.503646851,-2110.248046875,-304.979583740,133.451446533,-2112.376464844,-292.057891846,108.553787231,-2104.531982422,-300.427398682,110.182548523,-2111.195556641,-228.060546875,147.065795898,-2097.048583984,,,,-332.665191650,-27.680406570,-2144.460205078,-331.664764404,-18.902696609,-2144.914550781,,,,,,,-274.647979736,110.540771484,-2098.842529297,-264.533599854,112.607818604,-2095.074462891,
32,-297.761749268,128.296340942,-2111.215576172,-306.071197510,128.277435303,-2113.441406250,-293.043273926,103.062728882,-2105.635742188,-301.333068848,104.712287903,-2112.410156250,-229.270904541,141.696884155,-2097.099853516,,,,-332.664520264,-27.679111481,-2144.458496094,-331.666687012,-18.907102585,-2144.932128906,,,,,,,-275.724670410,105.061622620,-2099.677734375,-265.672790527,107.136146545,-2095.785400391,
33,-298.819793701,123.203498840,-2112.230957031,-307.120452881,123.200302124,-2114.469238281,-294.080230713,97.878479004,-2106.758056641,-302.286621094,99.554901123,-2113.564208984,-230.468811035,136.461456299,-2097.204833984,,,,-332.664886475,-27.677171707,-2144.459960938,-331.668945313,-18.910646439,-2144.949707031,,,,,,,-276.846038818,99.821327209,-2100.556884766,-266.835235596,101.870201111,-2096.518554688,
34,-299.829833984,118.196395874,-2113.232910156,-308.101928711,118.237373352,-2115.584228516,-295.168365479,92.964256287,-2107.784423828,-303.269073486,94.691528320,-2114.649169922,-231.599822998,131.321426392,-2097.416992188,,,,-332.662384033,-27.673057556,-2144.462402344,-331.671508789,-18.909208298,-2144.975585938,,,,,,,-278.003234863,94.816452026,-2101.454345703,-268.024810791,96.806144714,-2097.275390625,
35,-300.781646729,113.301010132,-2114.291748047,-309.021850586,113.373901367,-2116.814697266,-296.331695557,88.331352234,-2108.910156250,,,,-232.700195313,126.292800903,-2097.691650391,,,,-332.663208008,-27.668659210,-2144.460449219,-331.673583984,-18.905550003,-2144.984375000,,,,,,,-279.207794189,90.029182434,-2102.412597656,-269.254577637,91.929908752,-2098.096191406,
36,-301.728790283,108.561477661,-2115.499023438,-309.946777344,108.673446655,-2118.044189453,-297.539184570,83.913505554,-2110.156494141,,,,-233.808013916,121.367256165,-2098.098632813,,,,-332.669128418,-27.664463043,-2144.460937500,-331.678710938,-18.900644302,-2144.987060547,,,,,,,-280.468963623,85.436317444,-2103.440917969,-270.542663574,87.226310730,-2099.029296875,
