Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-306.399230957,-112.711929321,-2146.654296875,-303.048126221,-105.201004028,-2145.145996094,-311.207061768,-101.449378967,-2153.120849609,-312.940155029,-94.265693665,-2157.957031250,-236.990493774,-92.665557861,-2178.714599609,,,,-333.060516357,148.790145874,-2152.801513672,-332.946136475,157.309677124,-2152.183349609,-418.286743164,106.614227295,-1892.725830078,-417.880981445,96.539825439,-1893.688598633,-299.046142578,-90.417915344,-2154.941650391,,,,
2,-304.135284424,-113.133956909,-2145.826904297,-300.741577148,-105.720985413,-2144.120361328,-310.006500244,-101.223541260,-2155.281250000,-311.397186279,-93.871093750,-2159.869873047,-234.436752319,-92.892417908,-2177.796386719,,,,-333.068328857,148.795379639,-2152.792480469,-332.953582764,157.314941406,-2152.182861328,-418.292999268,106.618812561,-1892.709228516,-417.888122559,96.545234680,-1893.687255859,-297.507659912,-90.260833740,-2156.175781250,-288.653656006,-86.229103088,-2162.247070313,
3,-301.485565186,-113.082412720,-2145.059326172,-298.047454834,-105.718811035,-2143.206054688,-308.157806396,-100.669830322,-2157.096435547,-309.157318115,-93.186721802,-2161.358886719,-231.410934448,-92.875427246,-2177.026855469,,,,-333.071990967,148.800262451,-2152.775634766,-332.957092285,157.320678711,-2152.172119141,-418.295318604,106.623329163,-1892.698364258,-417.892395020,96.550666809,-1893.680786133,-295.275360107,-89.899467468,-2157.187744141,-286.206970215,-85.835350037,-2163.040283203,
4,-298.509429932,-112.571975708,-2144.520507813,-295.027740479,-105.259613037,-2142.586669922,-305.265960693,-99.484970093,-2157.697265625,-306.037567139,-92.003997803,-2162.135253906,-227.930099487,-92.675804138,-2176.350585938,,,,-333.070953369,148.805877686,-2152.769531250,-332.959228516,157.325714111,-2152.167724609,-418.296234131,106.628662109,-1892.694458008,-417.893585205,96.555953979,-1893.672119141,-292.128417969,-88.984413147,-2157.487060547,-282.882415771,-84.981460571,-2163.019287109,
5,-295.221710205,-111.569366455,-2144.163574219,-291.676879883,-104.323204041,-2142.164062500,-301.597320557,-97.675231934,-2157.231933594,-302.144042969,-90.203590393,-2161.636962891,-224.052230835,-92.366058350,-2175.718750000,,,,-333.071136475,148.811187744,-2152.771972656,-332.959014893,157.334426880,-2152.169921875,-418.295898438,106.632286072,-1892.687500000,-417.892578125,96.560974121,-1893.669555664,-288.230377197,-87.492530823,-2157.103027344,-278.902801514,-83.670204163,-2162.594238281,
6,-291.620666504,-110.212059021,-2143.722900391,-288.009948730,-103.024604797,-2141.657470703,-297.540100098,-95.562980652,-2156.396484375,-297.903656006,-88.102584839,-2160.835205078,-219.914443970,-91.932106018,-2175.014404297,,,,-333.072540283,148.816360474,-2152.786621094,-332.960662842,157.340148926,-2152.170410156,-418.294311523,106.636299133,-1892.686035156,-417.891754150,96.564590454,-1893.669921875,-283.926269531,-85.687873840,-2156.337402344,-274.539276123,-82.079627991,-2161.879394531,
7,-287.894195557,-108.752784729,-2143.246582031,-284.184265137,-101.652709961,-2141.065917969,-293.344177246,-93.424613953,-2155.584472656,-293.533813477,-86.023040771,-2160.103515625,-215.632995605,-91.350082397,-2174.190673828,,,,-333.073150635,148.819686890,-2152.796630859,-332.961547852,157.342849731,-2152.185791016,-418.288848877,106.637367249,-1892.688720703,-417.885955811,96.564758301,-1893.673461914,-279.510589600,-83.854942322,-2155.585449219,-270.043060303,-80.433204651,-2161.047851563,
8,-284.197265625,-107.204322815,-2142.598632813,-280.443481445,-100.140151978,-2140.350097656,-289.204132080,-91.400909424,-2154.898681641,-289.192047119,-83.943977356,-2159.206054688,-211.345581055,-90.629249573,-2173.132568359,,,,-333.072845459,148.819335938,-2152.810546875,-332.959381104,157.343643188,-2152.200927734,-418.285766602,106.635665894,-1892.691772461,-417.882537842,96.562904358,-1893.677612305,-275.175262451,-82.084289551,-2154.854248047,-265.645904541,-78.859664917,-2160.435302734,
9,-280.674804688,-105.415077209,-2141.956054688,-276.850036621,-98.436073303,-2139.689453125,-285.266693115,-89.262962341,-2154.393310547,-285.057495117,-81.843833923,-2158.819335938,-207.172027588,-89.781517029,-2171.901855469,,,,-333.070251465,148.815795898,-2152.825195313,-332.956420898,157.341430664,-2152.207519531,-418.279144287,106.631767273,-1892.691772461,-417.878723145,96.558502197,-1893.679321289,-271.010101318,-80.249916077,-2154.133544922,-261.365722656,-77.165664673,-2159.571777344,
10,-277.413513184,-103.462417603,-2141.385742188,-273.529693604,-96.566177368,-2138.970214844,-281.499267578,-86.774826050,-2153.796875000,-281.012329102,-79.352989197,-2158.180664063,-203.128067017,-88.742408752,-2170.262939453,,,,-333.070159912,148.810867310,-2152.826904297,-332.956756592,157.336349487,-2152.210693359,-418.277465820,106.626235962,-1892.690063477,-417.876464844,96.552444458,-1893.678466797,-266.996215820,-78.127685547,-2153.355957031,-257.216949463,-75.241874695,-2158.725341797,
11,-274.510559082,-101.352859497,-2140.869628906,-270.590118408,-94.535270691,-2138.308593750,-277.882598877,-83.788322449,-2153.157714844,-277.105743408,-76.393646240,-2157.499267578,-199.282196045,-87.474205017,-2168.314208984,,,,-333.069122314,148.807846069,-2152.821533203,-332.956268311,157.332992554,-2152.210449219,-418.278106689,106.619781494,-1892.688232422,-417.876647949,96.547279358,-1893.677856445,-263.118591309,-75.575340271,-2152.480957031,-253.192428589,-72.935249329,-2157.729492188,
12,-271.862640381,-98.836585999,-2140.398925781,-267.909027100,-92.119316101,-2137.651855469,-274.434478760,-80.329292297,-2152.408691406,-273.276733398,-72.919410706,-2156.568603516,-195.641510010,-85.938095093,-2166.123535156,,,,-333.069976807,148.806991577,-2152.813964844,-332.956909180,157.332275391,-2152.204589844,-418.280120850,106.617309570,-1892.685302734,-417.878265381,96.543769836,-1893.672729492,-259.420043945,-72.596214294,-2151.513183594,-249.309722900,-70.193519592,-2156.427001953,
13,-269.457672119,-95.887039185,-2139.964111328,-265.499420166,-89.278388977,-2137.037597656,-271.181213379,-76.451904297,-2151.756103516,-269.648345947,-69.071662903,-2155.778808594,-192.216461182,-84.075233459,-2163.605224609,,,,-333.071136475,148.808517456,-2152.800292969,-332.956054688,157.331253052,-2152.187500000,-418.283477783,106.616477966,-1892.675781250,-417.880645752,96.543022156,-1893.660034180,-255.894989014,-69.225120544,-2150.497070313,-245.623107910,-67.115966797,-2155.222900391,
14,-267.286224365,-92.440917969,-2139.586669922,-263.320953369,-85.954101563,-2136.525146484,-268.054260254,-72.141471863,-2151.168212891,-266.137939453,-64.850402832,-2155.285400391,-189.006378174,-81.828994751,-2161.014404297,,,,-333.073669434,148.814376831,-2152.795898438,-332.957122803,157.336364746,-2152.172607422,-418.286926270,106.619789124,-1892.666259766,-417.884490967,96.545494080,-1893.649047852,-252.529785156,-65.442123413,-2149.467529297,-242.098770142,-63.614498138,-2153.900878906,
15,-265.236755371,-88.482147217,-2139.233886719,-261.268829346,-82.096595764,-2135.959472656,-265.026031494,-67.370117188,-2150.510742188,-262.721771240,-60.097343445,-2154.290039063,-186.034210205,-79.189262390,-2158.275146484,,,,-333.075134277,148.820693970,-2152.781738281,-332.959777832,157.343261719,-2152.164794922,-418.292449951,106.626861572,-1892.660522461,-417.887664795,96.549446106,-1893.641479492,-249.315475464,-61.214733124,-2148.420654297,-238.705017090,-59.693191528,-2152.494140625,
16,-263.160888672,-84.152687073,-2138.633789063,-259.203521729,-77.852966309,-2135.234863281,-262.113403320,-62.238941193,-2149.687500000,-259.512603760,-55.179702759,-2153.949707031,-183.261596680,-76.170066833,-2155.460937500,,,,-333.077880859,148.826736450,-2152.769042969,-332.965362549,157.351226807,-2152.154296875,-418.296295166,106.632705688,-1892.654418945,-417.890258789,96.555007935,-1893.632446289,-246.224105835,-56.613811493,-2147.253417969,-235.464859009,-55.425933838,-2151.039062500,
17,-261.111877441,-79.720184326,-2137.717285156,-257.161071777,-73.487998962,-2134.152832031,-259.324890137,-57.016223907,-2148.592285156,-256.388275146,-50.049350739,-2152.788818359,-180.699111938,-72.812286377,-2152.598388672,,,,-333.085021973,148.830261230,-2152.766357422,-332.971435547,157.356460571,-2152.147460938,-418.300292969,106.637435913,-1892.654174805,-417.892242432,96.559776306,-1893.625000000,-243.290771484,-51.867095947,-2145.819580078,-232.414291382,-50.955215454,-2149.323242188,
18,-259.062164307,-75.345275879,-2136.235839844,-255.137466431,-69.167297363,-2132.587402344,-256.684173584,-51.920005798,-2146.952148438,-253.478897095,-44.929908752,-2150.598876953,-178.303894043,-69.152336121,-2149.669433594,,,,-333.087677002,148.834014893,-2152.759277344,-332.972930908,157.360809326,-2152.146240234,-418.300750732,106.640144348,-1892.653442383,-417.894409180,96.562484741,-1893.628662109,-240.579467773,-47.152976990,-2143.956542969,-229.639282227,-46.479656219,-2147.407958984,
19,-257.107360840,-71.062271118,-2134.274658203,-253.221145630,-64.927223206,-2130.568359375,-254.340087891,-47.069194794,-2144.780517578,-250.931152344,-40.164112091,-2148.594482422,-176.163146973,-65.241439819,-2146.738525391,,,,-333.089080811,148.834533691,-2152.764892578,-332.975891113,157.362289429,-2152.151123047,-418.296936035,106.640739441,-1892.653320313,-417.893768311,96.562652588,-1893.628295898,-238.162399292,-42.568439484,-2141.637451172,-227.191558838,-42.056343079,-2145.008056641,
20,-255.434219360,-66.897773743,-2132.101562500,-251.601745605,-60.797660828,-2128.316162109,-252.392822266,-42.411933899,-2142.166015625,-248.864395142,-35.547012329,-2145.932617188,-174.317398071,-61.130729675,-2143.689941406,,,,-333.088653564,148.835220337,-2152.779785156,-332.975158691,157.361679077,-2152.158447266,-418.295257568,106.638610840,-1892.660400391,-417.888702393,96.560577393,-1893.631958008,-236.150802612,-38.108654022,-2138.975830078,-225.157653809,-37.682735443,-2142.184814453,
21,-254.167251587,-62.853893280,-2129.786376953,-250.404953003,-56.757286072,-2125.882568359,-250.873596191,-37.776828766,-2139.354736328,-247.206329346,-30.890518188,-2142.741699219,-172.918289185,-56.868843079,-2140.480468750,,,,-333.086791992,148.833862305,-2152.787109375,-332.971008301,157.359161377,-2152.157470703,-418.290405273,106.635238647,-1892.665405273,-417.883514404,96.557991028,-1893.632446289,-234.609069824,-33.668338776,-2136.054199219,-223.596786499,-33.321285248,-2139.285644531,
22,-253.346496582,-58.856418610,-2127.454345703,-249.678741455,-52.792411804,-2123.536865234,-249.835845947,-33.029979706,-2136.557861328,-246.087432861,-26.215364456,-2140.133544922,-172.019775391,-52.516052246,-2137.170410156,,,,-333.080108643,148.830993652,-2152.788085938,-332.963928223,157.354705811,-2152.155273438,-418.283538818,106.631111145,-1892.665283203,-417.877319336,96.553169250,-1893.631469727,-233.538375854,-29.135616302,-2133.132812500,-222.510055542,-28.876203537,-2136.318847656,
