Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-315.263458252,-114.746742249,-2147.497558594,-310.796539307,-108.548065186,-2144.717285156,-311.954559326,-103.013114929,-2154.131103516,-311.319335938,-95.008522034,-2156.670654297,-237.604782104,-121.822044373,-2150.732177734,,,,-333.069305420,148.802749634,-2152.475830078,-332.825042725,157.127838135,-2151.142333984,-417.447143555,105.116394043,-1894.036621094,-416.867187500,95.096870422,-1895.397705078,-298.116516113,-96.461074829,-2149.030273438,-287.694702148,-92.036727905,-2150.422363281,
2,-314.531951904,-115.583526611,-2147.262939453,-310.240936279,-109.322097778,-2144.380126953,-311.515228271,-103.555297852,-2154.510986328,-310.712249756,-95.361320496,-2156.277099609,-236.589202881,-121.105590820,-2150.442626953,,,,-333.070648193,148.812118530,-2152.493408203,-332.839263916,157.163970947,-2151.244873047,-417.446105957,105.126228333,-1894.040893555,-416.863830566,95.107673645,-1895.402954102,-297.514892578,-96.928657532,-2148.628906250,-287.133819580,-92.368782043,-2149.825683594,
3,-313.296447754,-116.025291443,-2146.856445313,-309.111358643,-109.726234436,-2143.852294922,,,,-309.555175781,-95.398956299,-2155.589599609,-235.178131104,-120.453430176,-2150.103271484,,,,-333.070373535,148.821411133,-2152.506835938,-332.864746094,157.218429565,-2151.408203125,-417.444213867,105.136169434,-1894.042236328,-416.859985352,95.116958618,-1895.404296875,-296.346771240,-97.103919983,-2148.045654297,-285.983673096,-92.476989746,-2149.133056641,
4,-311.533843994,-115.928779602,-2146.236083984,-307.411346436,-109.624473572,-2143.167480469,,,,-307.806701660,-95.006896973,-2154.827392578,-233.299636841,-119.786239624,-2149.758300781,,,,-333.072174072,148.831329346,-2152.515136719,-332.895416260,157.278533936,-2151.601074219,-417.444549561,105.148262024,-1894.048706055,-416.858795166,95.127639771,-1895.407104492,-294.550659180,-96.872566223,-2147.411865234,-284.199066162,-92.223800659,-2148.466308594,
5,-309.296752930,-115.320640564,-2145.476562500,-305.199432373,-109.032424927,-2142.381347656,-306.704559326,-102.577804565,-2153.467529297,-305.434448242,-94.129913330,-2153.996582031,-230.941574097,-119.125968933,-2149.456298828,,,,-333.074768066,148.842453003,-2152.514160156,-332.931396484,157.336380005,-2151.790527344,-417.447357178,105.158737183,-1894.050659180,-416.863830566,95.141197205,-1895.410644531,-292.146270752,-96.181190491,-2146.730712891,-281.795623779,-91.574516296,-2147.866455078,
6,-306.662322998,-114.346420288,-2144.600585938,-302.507080078,-108.093322754,-2141.494384766,-304.017211914,-101.290336609,-2152.664306641,-302.611724854,-92.900100708,-2153.341796875,-228.224166870,-118.471755981,-2149.192382813,,,,-333.080444336,148.854003906,-2152.513916016,-332.960327148,157.377944946,-2151.925537109,-417.452178955,105.170745850,-1894.050292969,-416.869659424,95.153572083,-1895.415649414,-289.264953613,-95.131439209,-2146.062255859,-278.883270264,-90.609802246,-2147.295898438,
7,-303.698486328,-113.093200684,-2143.588623047,-299.466979980,-106.876014709,-2140.409667969,-300.991912842,-99.842918396,-2151.909912109,-299.386932373,-91.449203491,-2152.413085938,-225.235336304,-117.810325623,-2148.947753906,,,,-333.081726074,148.864456177,-2152.495849609,-332.976470947,157.400192261,-2151.994384766,-417.459594727,105.181282043,-1894.052001953,-416.876068115,95.164421082,-1895.418945313,-286.021728516,-93.905067444,-2145.397460938,-275.603790283,-89.490432739,-2146.675781250,
8,-300.539520264,-111.773262024,-2142.559814453,-296.265686035,-105.606468201,-2139.402832031,-297.717315674,-98.276344299,-2151.087402344,-295.945617676,-89.933227539,-2151.667236328,-222.053649902,-117.150360107,-2148.682861328,,,,-333.087860107,148.872482300,-2152.484619141,-332.987609863,157.410034180,-2152.019775391,-417.465606689,105.189895630,-1894.050903320,-416.880371094,95.172317505,-1895.414550781,-282.553100586,-92.602233887,-2144.763183594,-272.105529785,-88.294784546,-2146.103271484,
9,-297.400390625,-110.462699890,-2141.705566406,-293.079315186,-104.351776123,-2138.532470703,-294.299011230,-96.623748779,-2150.552978516,-292.368408203,-88.303253174,-2151.088867188,-218.796417236,-116.470344543,-2148.383056641,,,,-333.091857910,148.879974365,-2152.476318359,-332.993713379,157.415344238,-2152.022949219,-417.472930908,105.197273254,-1894.052246094,-416.887054443,95.177604675,-1895.415771484,-278.959930420,-91.190101624,-2144.269531250,-268.463317871,-87.002662659,-2145.656494141,
10,-294.596343994,-109.786834717,-2140.872802734,-290.296661377,-103.683822632,-2137.566894531,-290.728485107,-94.607727051,-2150.467041016,-288.649047852,-86.306510925,-2150.899414063,-215.550323486,-115.747467041,-2148.077636719,,,,-333.096801758,148.882873535,-2152.473388672,-332.997711182,157.419540405,-2152.028564453,-417.477813721,105.202018738,-1894.053222656,-416.892456055,95.181022644,-1895.415649414,-275.321105957,-89.460128784,-2144.138183594,-264.756561279,-85.472854614,-2145.550048828,
11,-292.046630859,-108.958694458,-2140.398681641,-287.779968262,-102.880943298,-2137.044189453,-287.250427246,-92.138961792,-2150.537109375,-284.938049316,-83.929748535,-2151.023681641,-212.407928467,-114.952636719,-2147.802001953,,,,-333.097869873,148.885574341,-2152.477050781,-332.996978760,157.422775269,-2152.027343750,-417.476837158,105.204643250,-1894.061035156,-416.894226074,95.183898926,-1895.420532227,-271.696014404,-87.393623352,-2144.121093750,-261.049194336,-83.654426575,-2145.554687500,
12,-289.284820557,-107.638130188,-2140.092041016,-285.023406982,-101.616462708,-2136.685791016,-283.904327393,-89.772544861,-2150.238769531,-281.356750488,-81.623001099,-2150.723144531,-209.417388916,-114.035232544,-2147.453369141,,,,-333.099731445,148.884902954,-2152.488037109,-332.992370605,157.424194336,-2152.020019531,-417.474121094,105.206459045,-1894.064819336,-416.893615723,95.186988831,-1895.430297852,-268.179748535,-85.397781372,-2143.877685547,-257.461425781,-81.848556519,-2145.343017578,
13,-286.462951660,-106.113845825,-2139.663085938,-282.222503662,-100.140930176,-2136.231445313,-280.675048828,-87.719085693,-2149.786132813,-277.944854736,-79.626823425,-2150.250488281,-206.464157104,-112.993125916,-2147.011962891,,,,-333.098693848,148.885070801,-2152.503417969,-332.992004395,157.427062988,-2152.017333984,-417.471221924,105.207878113,-1894.072387695,-416.889739990,95.188980103,-1895.442871094,-264.816955566,-83.676834106,-2143.448974609,-254.060333252,-80.293571472,-2144.918457031,
14,-283.759124756,-104.512557983,-2139.415527344,-279.527221680,-98.584350586,-2135.905517578,-277.553344727,-85.643432617,-2149.173095703,-274.656555176,-77.614685059,-2149.675781250,-203.609085083,-111.796714783,-2146.536865234,,,,-333.092163086,148.884033203,-2152.512939453,-332.982238770,157.422210693,-2152.000488281,-417.467010498,105.207305908,-1894.078613281,-416.883941650,95.188873291,-1895.447143555,-261.583160400,-81.961006165,-2142.970947266,-250.780212402,-78.736000061,-2144.426269531,
15,-281.193817139,-102.772613525,-2139.100830078,-276.952362061,-96.890937805,-2135.440673828,-274.541564941,-83.245536804,-2148.648925781,-271.456817627,-75.282379150,-2149.104248047,-200.877212524,-110.380973816,-2146.010498047,,,,-333.085174561,148.884277344,-2152.526367188,-332.963928223,157.408477783,-2151.952880859,-417.458465576,105.206314087,-1894.082397461,-416.879364014,95.187034607,-1895.453979492,-258.450195313,-79.956977844,-2142.470703125,-247.587097168,-76.905288696,-2143.903564453,
