Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-318.386047363,-112.392799377,-2156.228027344,-315.714172363,-106.663871765,-2151.122802734,-313.876892090,-97.611259460,-2162.078125000,-318.785827637,-91.257827759,-2173.771240234,-241.332031250,-105.943428040,-2142.823242188,,,,-333.025054932,149.071563721,-2152.611572266,-332.908966064,157.593841553,-2152.069091797,-417.568969727,104.853736877,-1894.034301758,-416.965209961,94.824203491,-1895.358764648,-305.460235596,-89.787086487,-2161.112548828,-295.048431396,-85.380340576,-2159.220214844,
2,-317.198211670,-111.623641968,-2156.321777344,-314.612548828,-105.929702759,-2151.267822266,-313.263763428,-97.337188721,-2165.120361328,-318.903320313,-89.938835144,-2172.199218750,-240.077835083,-104.634460449,-2142.997314453,,,,-333.024230957,149.075088501,-2152.621337891,-332.907409668,157.598892212,-2152.077392578,-417.568664551,104.857757568,-1894.036743164,-416.963470459,94.830062866,-1895.361938477,-304.215850830,-88.857925415,-2160.639648438,-293.780273438,-84.448806763,-2158.752929688,
3,-315.615753174,-110.489723206,-2155.608398438,-313.170776367,-104.679801941,-2151.167236328,-312.096038818,-96.296562195,-2166.870849609,,,,-238.457107544,-103.091377258,-2143.041503906,,,,-333.026519775,149.078460693,-2152.625976563,-332.907440186,157.603179932,-2152.078369141,-417.569793701,104.864036560,-1894.044189453,-416.964111328,94.835517883,-1895.362426758,-302.576477051,-87.503265381,-2160.232666016,-292.143554688,-83.119354248,-2158.458984375,
4,,,,-311.356811523,-102.994300842,-2150.987304688,-310.397827148,-94.603271484,-2167.057128906,,,,-236.531539917,-101.408302307,-2143.083740234,,,,-333.023132324,149.083618164,-2152.628906250,-332.905853271,157.607345581,-2152.082519531,-417.566040039,104.870597839,-1894.043823242,-416.960144043,94.840965271,-1895.359130859,-300.590484619,-85.816635132,-2159.781005859,-290.129730225,-81.478485107,-2158.011474609,
5,,,,-309.205261230,-101.024574280,-2150.465087891,-308.403961182,-92.565246582,-2166.843017578,,,,-234.286346436,-99.562423706,-2142.962158203,,,,-333.017517090,149.085281372,-2152.636962891,-332.899139404,157.611007690,-2152.083251953,-417.560913086,104.873710632,-1894.047119141,-416.955932617,94.844482422,-1895.361450195,-298.306823730,-83.908851624,-2159.104492188,-287.821197510,-79.625526428,-2157.393310547,
6,-309.501708984,-104.455482483,-2155.057861328,-306.873474121,-98.862632751,-2149.824707031,-306.231323242,-90.415618896,-2166.712158203,,,,-231.822341919,-97.608879089,-2142.797363281,,,,-333.014465332,149.085754395,-2152.643798828,-332.896392822,157.612869263,-2152.087158203,-417.559204102,104.874610901,-1894.043701172,-416.952545166,94.846313477,-1895.359252930,-295.814849854,-81.812194824,-2158.306884766,-285.302947998,-77.626564026,-2156.717773438,
7,-307.086944580,-102.074447632,-2154.166015625,-304.378997803,-96.484832764,-2149.037597656,-303.868164063,-87.947296143,-2166.081298828,,,,-229.195159912,-95.492477417,-2142.513183594,,,,-333.014068604,149.084518433,-2152.636474609,-332.897918701,157.612823486,-2152.089355469,-417.558868408,104.874069214,-1894.042846680,-416.955505371,94.847099304,-1895.356079102,-293.150726318,-79.451416016,-2157.354003906,-282.606414795,-75.328063965,-2155.883300781,
8,-304.496917725,-99.467353821,-2153.084716797,-301.775939941,-93.864608765,-2148.129882813,-301.370147705,-85.252304077,-2165.322021484,,,,-226.473602295,-93.237731934,-2142.136962891,,,,-333.016815186,149.082733154,-2152.635009766,-332.897491455,157.610610962,-2152.087158203,-417.559051514,104.874382019,-1894.039428711,-416.957153320,94.845878601,-1895.351318359,-290.357879639,-76.905624390,-2156.319824219,-279.778961182,-72.830863953,-2154.934814453,
9,-301.911712646,-96.626220703,-2152.282958984,-299.082672119,-91.066207886,-2147.059082031,-298.830963135,-82.394622803,-2164.510986328,-299.487060547,-77.281341553,-2179.101806641,-223.734695435,-90.895782471,-2141.666015625,,,,-333.012634277,149.081420898,-2152.636718750,-332.892669678,157.609924316,-2152.090332031,-417.554595947,104.871986389,-1894.032592773,-416.952606201,94.843879700,-1895.350708008,-287.521606445,-74.227989197,-2155.187255859,-276.895935059,-70.223236084,-2153.854003906,
10,-299.357360840,-93.752464294,-2150.984375000,-296.474334717,-88.206764221,-2145.957031250,-296.329559326,-79.421417236,-2163.536621094,-297.040313721,-74.644752502,-2179.441162109,-221.041473389,-88.443283081,-2141.099609375,,,,-333.005523682,149.080123901,-2152.630615234,-332.891021729,157.609939575,-2152.094970703,-417.550506592,104.870330811,-1894.030273438,-416.947784424,94.842132568,-1895.347778320,-284.738281250,-71.442527771,-2153.998779297,-274.076385498,-67.495185852,-2152.734619141,
11,-296.916259766,-90.801490784,-2149.922363281,-293.968505859,-85.320632935,-2144.762939453,-293.919677734,-76.391960144,-2162.403564453,-292.833679199,-68.560424805,-2165.613281250,-218.483718872,-85.888473511,-2140.506347656,,,,-333.007202148,149.080322266,-2152.625244141,-332.894348145,157.610809326,-2152.093994141,-417.553833008,104.870941162,-1894.030395508,-416.947814941,94.842636108,-1895.344482422,-282.082366943,-68.614768982,-2152.726562500,-271.399993896,-64.722564697,-2151.587158203,
12,-294.657348633,-87.856605530,-2148.897705078,-291.634552002,-82.396331787,-2143.542968750,-291.687500000,-73.300903320,-2161.212402344,-290.309387207,-65.124153137,-2162.794189453,-216.098754883,-83.210876465,-2139.703613281,,,,-333.009155273,149.081207275,-2152.618896484,-332.896972656,157.611343384,-2152.088867188,-417.559295654,104.873001099,-1894.026855469,-416.954223633,94.843582153,-1895.343750000,-279.617156982,-65.722412109,-2151.403076172,-268.911437988,-61.883258820,-2150.348144531,
13,-292.539672852,-84.943954468,-2147.554687500,-289.500396729,-79.479598999,-2142.250488281,-289.660278320,-70.186889648,-2159.933593750,-288.180450439,-61.965480804,-2161.231201172,-213.928329468,-80.378219604,-2138.925781250,,,,-333.010375977,149.082473755,-2152.624755859,-332.897857666,157.613342285,-2152.092041016,-417.558410645,104.873695374,-1894.025512695,-416.956115723,94.844360352,-1895.346679688,-277.387176514,-62.791328430,-2150.096435547,-266.660949707,-58.975719452,-2149.056640625,
14,-290.700073242,-81.947784424,-2146.464599609,-287.615783691,-76.558708191,-2141.041259766,-287.855438232,-67.008827209,-2158.573486328,-286.239288330,-58.727989197,-2159.507812500,-211.976165771,-77.416351318,-2138.160644531,,,,-333.007263184,149.083984375,-2152.624755859,-332.893218994,157.613616943,-2152.091552734,-417.558502197,104.873374939,-1894.029296875,-416.957366943,94.845413208,-1895.352661133,-275.404693604,-59.808223724,-2148.809326172,-264.665710449,-55.998966217,-2147.769042969,
15,-289.060699463,-78.945304871,-2145.165527344,-285.975677490,-73.570259094,-2139.847412109,-286.268371582,-63.754226685,-2157.206054688,-284.647521973,-55.496192932,-2158.131591797,-210.281127930,-74.338958740,-2137.358886719,,,,-333.009674072,149.082534790,-2152.625000000,-332.895324707,157.612411499,-2152.087646484,-417.564178467,104.872741699,-1894.030151367,-416.961944580,94.844993591,-1895.355468750,-273.675292969,-56.735881805,-2147.489013672,-262.928741455,-52.947086334,-2146.513916016,
16,-287.680389404,-75.928718567,-2144.000000000,-284.602478027,-70.536109924,-2138.665283203,-284.941589355,-60.324199677,-2155.950927734,-283.212982178,-52.058738708,-2156.593505859,-208.869522095,-71.207054138,-2136.458251953,,,,-333.016357422,149.081542969,-2152.626220703,-332.901062012,157.611175537,-2152.091308594,-417.570037842,104.871932983,-1894.033569336,-416.967895508,94.843101501,-1895.358398438,-272.143951416,-53.499267578,-2146.192138672,-261.372192383,-49.772628784,-2145.326660156,
17,-286.784393311,-73.062789917,-2143.358642578,-283.845123291,-67.551040649,-2138.086669922,-284.069396973,-55.092823029,-2153.630126953,-281.857421875,-47.144008636,-2154.848388672,-207.696060181,-68.104187012,-2135.500976563,,,,-333.018035889,149.078765869,-2152.623779297,-332.903320313,157.607528687,-2152.092773438,-417.572357178,104.870529175,-1894.034667969,-416.970825195,94.840286255,-1895.362548828,-270.591735840,-49.017395020,-2144.498046875,-259.692932129,-45.756504059,-2144.028320313,
