Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-309.751861572,-127.070800781,-2154.794677734,-305.743408203,-120.962860107,-2151.202148438,-306.542022705,-100.848762512,-2164.383789063,-303.497863770,-93.236236572,-2166.039062500,-231.030746460,-123.236366272,-2168.153320313,,,,-332.068603516,151.055633545,-2154.885009766,-331.701019287,159.584136963,-2154.655029297,-417.549041748,105.442985535,-1893.983276367,-416.941192627,95.424110413,-1895.297363281,-289.295715332,-97.948486328,-2161.708007813,-278.945465088,-94.148803711,-2164.529296875,
2,-308.899383545,-127.957511902,-2154.700927734,-305.019836426,-121.804161072,-2150.960205078,-305.040252686,-98.683280945,-2165.371826172,-301.607330322,-91.287086487,-2167.104003906,-229.742019653,-123.081642151,-2167.800292969,,,,-332.069976807,151.063674927,-2154.888671875,-331.707458496,159.590576172,-2154.668701172,-417.547058105,105.449050903,-1893.982299805,-416.943237305,95.431556702,-1895.299682617,-287.653930664,-96.534240723,-2162.498535156,-277.150329590,-93.098548889,-2165.244140625,
3,-307.564666748,-128.287155151,-2154.407714844,-303.759582520,-122.127075195,-2150.645019531,-303.080291748,-96.968475342,-2165.336669922,-299.407897949,-89.703994751,-2167.153076172,-228.144256592,-122.928260803,-2167.450683594,,,,-332.069641113,151.071212769,-2154.885498047,-331.707946777,159.599548340,-2154.669189453,-417.547332764,105.457778931,-1893.982788086,-416.942932129,95.440711975,-1895.300415039,-285.621276855,-95.359565735,-2162.540283203,-275.024505615,-92.218124390,-2165.313964844,
4,-305.783172607,-128.399398804,-2153.908935547,-302.029235840,-122.250991821,-2150.054931641,-300.824096680,-95.382156372,-2164.986083984,-296.890045166,-88.273651123,-2166.813232422,-226.254608154,-122.780113220,-2167.083007813,,,,-332.075408936,151.079025269,-2154.894775391,-331.714691162,159.609588623,-2154.673339844,-417.551300049,105.466819763,-1893.986328125,-416.947021484,95.451591492,-1895.306396484,-283.292510986,-94.301742554,-2162.322509766,-272.617645264,-91.434913635,-2165.107421875,
5,-303.663360596,-128.436508179,-2153.066894531,-299.916076660,-122.284416199,-2149.255126953,-298.261047363,-93.808273315,-2164.618652344,-294.103759766,-86.829986572,-2166.531494141,-224.073944092,-122.645767212,-2166.736328125,,,,-332.082214355,151.087692261,-2154.896728516,-331.719055176,159.619445801,-2154.679687500,-417.558502197,105.478279114,-1893.992431641,-416.952941895,95.463966370,-1895.309692383,-280.661102295,-93.235855103,-2161.984130859,-269.936859131,-90.648117065,-2164.846191406,
6,-301.329650879,-128.360382080,-2152.197509766,-297.585601807,-122.225212097,-2148.331298828,-295.386016846,-92.169006348,-2164.117919922,-291.063812256,-85.407066345,-2166.230712891,-221.689834595,-122.532348633,-2166.383056641,,,,-332.084503174,151.097427368,-2154.900878906,-331.724243164,159.630233765,-2154.682128906,-417.560760498,105.490539551,-1893.995239258,-416.955718994,95.476188660,-1895.311767578,-277.765319824,-92.114845276,-2161.624267578,-267.001770020,-89.795600891,-2164.544189453,
7,-298.932067871,-128.150085449,-2151.314697266,-295.172912598,-122.043090820,-2147.441650391,-292.357116699,-90.570709229,-2163.482177734,-287.857574463,-83.943519592,-2165.752685547,-219.218704224,-122.435119629,-2165.981689453,,,,-332.088165283,151.107376099,-2154.903564453,-331.727203369,159.640106201,-2154.686523438,-417.561859131,105.501632690,-1893.994262695,-416.954528809,95.488578796,-1895.312866211,-274.714782715,-90.954277039,-2161.167480469,-263.916595459,-88.887512207,-2164.159423828,
8,-296.571228027,-127.933525085,-2150.570312500,-292.801391602,-121.846298218,-2146.668945313,-289.329132080,-89.035392761,-2162.923583984,-284.666748047,-82.542930603,-2165.188232422,-216.755264282,-122.379066467,-2165.487060547,,,,-332.093994141,151.116088867,-2154.905273438,-331.731719971,159.647354126,-2154.684326172,-417.563385010,105.510681152,-1893.994750977,-416.956848145,95.497856140,-1895.316650391,-271.673828125,-89.859191895,-2160.671875000,-260.862945557,-88.033859253,-2163.782470703,
9,-294.322448730,-127.771644592,-2149.868652344,-290.557037354,-121.712097168,-2145.959716797,-286.393005371,-87.642486572,-2162.515869141,-281.593475342,-81.319320679,-2164.974365234,-214.372299194,-122.365020752,-2164.918945313,,,,-332.098876953,151.121139526,-2154.899902344,-331.736816406,159.652313232,-2154.674560547,-417.569335938,105.517059326,-1893.997924805,-416.963195801,95.504440308,-1895.319824219,-268.761871338,-88.885292053,-2160.245849609,-257.918518066,-87.303627014,-2163.434814453,
10,-292.168060303,-127.712432861,-2149.156005859,-288.411712646,-121.663078308,-2145.265625000,-283.535400391,-86.284988403,-2162.137695313,-278.584228516,-80.107170105,-2164.648437500,-212.079574585,-122.378677368,-2164.292968750,,,,-332.100860596,151.123123169,-2154.899414063,-331.738189697,159.653915405,-2154.672363281,-417.572235107,105.520339966,-1893.998535156,-416.964904785,95.506889343,-1895.321533203,-265.924560547,-87.947975159,-2159.898681641,-255.044418335,-86.615478516,-2163.070556641,
