Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-325.133148193,255.308792114,-2122.346191406,-333.628051758,256.436309814,-2122.485351563,-323.663665771,238.635620117,-2126.803222656,-332.720764160,243.907516479,-2128.804199219,-251.041046143,250.306564331,-2142.101562500,,,,-332.738769531,-27.753370285,-2144.507568359,-331.723602295,-18.992769241,-2144.981445313,,,,,,,-306.249511719,234.037765503,-2129.510742188,-295.716064453,231.102615356,-2129.842773438,
2,-323.497924805,254.677505493,-2121.338623047,-331.980987549,255.837112427,-2121.445800781,-322.163604736,237.385513306,-2126.009033203,-331.265441895,242.544021606,-2127.993164063,-249.603256226,249.673599243,-2141.522460938,,,,-332.738922119,-27.755208969,-2144.498535156,-331.727844238,-18.991762161,-2144.983154297,,,,,,,-304.680175781,233.016204834,-2128.677490234,-294.097534180,230.222808838,-2129.025878906,
3,-321.340576172,253.714294434,-2120.268310547,-329.792358398,254.847229004,-2120.110595703,-320.198944092,235.827423096,-2125.028808594,-329.423645020,240.798690796,-2127.068603516,-247.756347656,248.883972168,-2141.010009766,,,,-332.731292725,-27.757225037,-2144.479492188,-331.729064941,-18.991436005,-2144.983154297,,,,,,,-302.658569336,231.693511963,-2127.752685547,-292.031066895,229.072341919,-2128.129394531,
4,-318.801788330,252.406982422,-2119.015380859,-327.278442383,253.552917480,-2118.766357422,-317.783508301,233.934631348,-2123.757568359,-327.101593018,238.786270142,-2125.882812500,-245.585266113,247.846054077,-2140.522216797,,,,-332.726409912,-27.760881424,-2144.449462891,-331.728912354,-18.992092133,-2144.985595703,,,,,,,-300.205902100,230.061981201,-2126.707519531,-289.548522949,227.619720459,-2127.181884766,
5,-315.957122803,250.759353638,-2117.679443359,-324.394470215,251.871932983,-2117.248046875,-315.067596436,231.788238525,-2122.502197266,-324.455841064,236.496856689,-2124.531494141,-243.141937256,246.626754761,-2140.022949219,,,,-332.726928711,-27.762411118,-2144.426757813,-331.727935791,-18.992744446,-2144.973144531,,,,,,,-297.442321777,228.173324585,-2125.621337891,-286.754943848,225.899444580,-2126.213623047,
6,-312.887420654,248.828994751,-2116.293457031,-321.319732666,249.922836304,-2115.728271484,-312.137359619,229.448425293,-2121.238037109,-321.579956055,234.021255493,-2123.096923828,-240.524658203,245.236068726,-2139.530517578,,,,-332.728759766,-27.761363983,-2144.420654297,-331.733581543,-18.992174149,-2144.969238281,,,,,,,-294.474639893,226.087127686,-2124.503173828,-283.751068115,223.978454590,-2125.160888672,
7,-309.762878418,246.737487793,-2114.961425781,-318.175201416,247.781753540,-2114.259277344,-309.094909668,226.965820313,-2120.040771484,-318.585083008,231.411788940,-2121.836425781,-237.744842529,243.680633545,-2138.888671875,,,,-332.735778809,-27.759574890,-2144.432373047,-331.734863281,-18.993675232,-2144.968750000,,,,,,,-291.386871338,223.822494507,-2123.381835938,-280.637725830,221.902893066,-2124.144531250,
8,-306.588806152,244.530105591,-2113.428710938,-315.033782959,245.536331177,-2112.756591797,-305.995971680,224.293136597,-2118.864746094,-315.557037354,228.592422485,-2120.669433594,-234.894042969,241.976806641,-2138.177978516,,,,-332.739807129,-27.757055283,-2144.441650391,-331.734985352,-18.992948532,-2144.967773438,,,,,,,-288.253021240,221.388015747,-2122.311279297,-277.467681885,219.641662598,-2123.146728516,
9,-303.576690674,242.334396362,-2112.085449219,-311.995758057,243.298583984,-2111.227294922,-302.920104980,221.349105835,-2117.708251953,-312.551849365,225.484741211,-2119.641113281,-232.032333374,240.188751221,-2137.320312500,,,,-332.744262695,-27.753530502,-2144.459228516,-331.738250732,-18.990560532,-2144.969238281,,,,,,,-285.102600098,218.735748291,-2121.213867188,-274.280364990,217.200653076,-2122.054443359,
10,-300.778076172,240.159378052,-2110.557861328,-309.209960938,241.088867188,-2109.681640625,-299.829040527,218.132659912,-2116.553955078,-309.526306152,222.066192627,-2118.438232422,-229.237014771,238.289215088,-2136.210205078,,,,-332.749267578,-27.750608444,-2144.471191406,-331.747558594,-18.985857010,-2144.972900391,,,,,,,-281.947937012,215.854858398,-2120.018798828,-271.096343994,214.580551147,-2120.890869141,
11,-298.301910400,237.925735474,-2109.128417969,-306.730102539,238.833312988,-2108.291259766,-296.770568848,214.639877319,-2115.338134766,-306.542175293,218.356750488,-2117.207031250,-226.529220581,236.325485229,-2134.834472656,,,,-332.754058838,-27.744409561,-2144.480712891,-331.764068604,-18.983158112,-2144.978515625,,,,,,,-278.819885254,212.762069702,-2118.669677734,-267.932525635,211.773162842,-2119.552001953,
12,-296.135955811,235.552383423,-2107.834228516,-304.585388184,236.427886963,-2107.047607422,-293.790802002,210.894851685,-2114.031982422,-303.638183594,214.323333740,-2115.920898438,-223.961547852,234.293212891,-2133.304687500,,,,-332.756134033,-27.739875793,-2144.487060547,-331.774688721,-18.980262756,-2144.989990234,,,,,,,-275.758361816,209.495559692,-2117.272460938,-264.843200684,208.807891846,-2118.070312500,
13,-294.330261230,233.028167725,-2106.600097656,-302.807495117,233.846405029,-2105.981445313,-290.885375977,206.895782471,-2112.669189453,-300.795684814,209.979446411,-2114.627929688,-221.510437012,232.151672363,-2131.548828125,,,,-332.754333496,-27.738677979,-2144.483154297,-331.772918701,-18.979543686,-2144.996582031,,,,,,,-272.773773193,206.025573730,-2115.741699219,-261.837738037,205.686050415,-2116.468750000,
14,-292.831176758,230.280975342,-2105.539306641,-301.335388184,231.039230347,-2105.017578125,-288.044006348,202.584548950,-2111.269287109,-298.037811279,205.286788940,-2113.377441406,-219.252304077,229.875839233,-2129.629638672,,,,-332.749237061,-27.738382339,-2144.476318359,-331.770782471,-18.977909088,-2144.984375000,,,,,,,-269.883209229,202.316802979,-2114.154296875,-258.920898438,202.355865479,-2114.730468750,
15,-291.592987061,227.288360596,-2104.554931641,-300.094848633,227.980346680,-2104.156250000,-285.281738281,197.936141968,-2109.805908203,-295.335998535,200.198989868,-2112.062744141,-217.195343018,227.419754028,-2127.608886719,,,,-332.742431641,-27.739038467,-2144.472167969,-331.775695801,-18.975862503,-2144.983886719,,,,,,,-267.088714600,198.316528320,-2112.448242188,-256.131805420,198.781936646,-2112.899902344,
16,-290.571258545,224.071945190,-2103.699462891,-299.095947266,224.726181030,-2103.472167969,-282.632598877,192.930877686,-2108.442138672,-292.753540039,194.776046753,-2110.821777344,-215.333343506,224.732513428,-2125.501220703,,,,-332.733154297,-27.738376617,-2144.457031250,-331.779602051,-18.974094391,-2144.977050781,,,,,,,-264.432281494,194.035064697,-2110.721679688,-253.490859985,194.953948975,-2111.038085938,
17,-289.726043701,220.684829712,-2102.842041016,-298.253265381,221.313461304,-2102.751953125,-280.092864990,187.655715942,-2107.030273438,-290.236846924,189.027313232,-2109.588134766,-213.658432007,221.750686646,-2123.326416016,,,,-332.729064941,-27.737449646,-2144.450439453,-331.773315430,-18.973197937,-2144.977294922,,,,,,,-261.924011230,189.492630005,-2109.048583984,-251.017211914,190.861206055,-2109.177246094,
18,-288.988250732,217.215103149,-2101.983642578,-297.525787354,217.829406738,-2102.011474609,-277.668945313,182.074005127,-2105.645996094,-287.832397461,182.965560913,-2108.379638672,-212.160232544,218.419067383,-2121.256835938,,,,-332.728637695,-27.735605240,-2144.443359375,-331.753784180,-18.972532272,-2144.986328125,,,,,,,-259.569885254,184.658218384,-2107.417724609,-248.719619751,186.486099243,-2107.372558594,
19,-288.319763184,213.672241211,-2100.950439453,-296.872772217,214.325347900,-2101.114501953,-275.332519531,176.193664551,-2104.236083984,-285.491088867,176.627166748,-2107.089599609,-210.804168701,214.702194214,-2119.402832031,,,,-332.727966309,-27.737695694,-2144.437011719,-331.731353760,-18.972732544,-2144.975830078,,,,,,,-257.340393066,179.537872314,-2105.828369141,-246.577621460,181.803390503,-2105.691162109,
20,-287.726379395,210.083175659,-2100.016113281,-296.275207520,210.785507202,-2100.268554688,-273.082092285,170.024230957,-2102.916992188,-283.204589844,170.012557983,-2105.816406250,-209.557022095,210.575729370,-2117.651367188,,,,-332.725555420,-27.738317490,-2144.426513672,-331.722625732,-18.974487305,-2144.970703125,,,,,,,-255.235549927,174.083312988,-2104.343017578,-244.573760986,176.783950806,-2104.104492188,
21,-287.187927246,206.345153809,-2099.020263672,-295.720397949,207.158432007,-2099.398437500,-270.908477783,163.528594971,-2101.650390625,-280.996337891,163.071929932,-2104.635986328,-208.436889648,206.080764771,-2116.025390625,,,,-332.725830078,-27.739807129,-2144.433105469,-331.725891113,-18.975328445,-2144.969482422,,,,,,,-253.239654541,168.277725220,-2103.052490234,-242.685501099,171.418136597,-2102.641601563,
22,-286.712005615,202.480667114,-2098.137451172,-295.222625732,203.390609741,-2098.564697266,-268.831878662,156.742813110,-2100.586425781,-278.870483398,155.868774414,-2103.614013672,-207.468307495,201.265090942,-2114.561279297,,,,-332.728057861,-27.739765167,-2144.438232422,-331.732757568,-18.976093292,-2144.964355469,,,,,,,-251.359664917,162.226257324,-2101.798339844,-240.934646606,165.774505615,-2101.355712891,
