Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-319.201538086,-115.809524536,-2155.866943359,-316.170715332,-109.908172607,-2151.163818359,,,,-317.879882813,-97.565979004,-2178.426025391,-242.734161377,-109.266822815,-2147.349853516,,,,-333.012542725,148.879608154,-2152.639404297,-332.895782471,157.412490845,-2152.091308594,-417.587249756,104.859176636,-1893.951293945,-416.981323242,94.828262329,-1895.303344727,-307.866210938,-94.250610352,-2164.024414063,-297.654022217,-89.162452698,-2162.394287109,
2,-318.264526367,-116.918861389,-2155.870117188,-315.422393799,-111.058494568,-2151.028320313,,,,-318.328186035,-97.456916809,-2178.193115234,-241.592864990,-108.446388245,-2147.489501953,,,,-333.022705078,148.896072388,-2152.647216797,-332.907440186,157.425765991,-2152.098876953,-417.594329834,104.873985291,-1893.956787109,-416.987091064,94.843894958,-1895.304321289,-307.019622803,-94.675193787,-2163.254638672,-296.881195068,-89.459075928,-2161.562744141,
3,-316.747863770,-117.341125488,-2155.406005859,-314.027801514,-111.493080139,-2150.454345703,,,,-318.550292969,-96.715934753,-2176.936279297,-240.063674927,-107.481681824,-2147.551513672,,,,-333.030029297,148.909057617,-2152.655029297,-332.914031982,157.439666748,-2152.100830078,-417.597656250,104.889472961,-1893.960083008,-416.990417480,94.859252930,-1895.312011719,-305.697479248,-94.686187744,-2162.255859375,-295.605194092,-89.411994934,-2160.709472656,
4,-314.874267578,-117.083946228,-2154.675292969,-312.191772461,-111.247222900,-2149.706298828,,,,-318.598144531,-95.638832092,-2174.985595703,-238.070587158,-106.326942444,-2147.467773438,,,,-333.030120850,148.920745850,-2152.652832031,-332.915039063,157.450317383,-2152.103027344,-417.599090576,104.901359558,-1893.964111328,-416.991149902,94.871284485,-1895.314819336,-303.867065430,-94.141731262,-2161.207763672,-293.780456543,-88.822441101,-2159.760253906,
5,-312.592926025,-116.139457703,-2153.692626953,-309.909545898,-110.292816162,-2148.770019531,,,,,,,-235.690673828,-105.053939819,-2147.247070313,,,,-333.033020020,148.926986694,-2152.657714844,-332.915466309,157.455612183,-2152.105468750,-417.601928711,104.907814026,-1893.972290039,-416.992309570,94.878417969,-1895.317016602,-301.543029785,-93.057487488,-2160.062744141,-291.454833984,-87.744186401,-2158.793212891,
6,-309.986877441,-114.663528442,-2152.495361328,-307.250823975,-108.843864441,-2147.626953125,,,,,,,-233.010437012,-103.695854187,-2146.997314453,,,,-333.033538818,148.930770874,-2152.656494141,-332.918518066,157.458480835,-2152.110351563,-417.603271484,104.909309387,-1893.976074219,-416.991790771,94.881996155,-1895.316284180,-298.837402344,-91.553070068,-2158.856689453,-288.710235596,-86.297180176,-2157.707763672,
7,-307.180297852,-112.868591309,-2151.307128906,-304.355987549,-107.096138000,-2146.442382813,,,,,,,-230.057083130,-102.216972351,-2146.554443359,,,,-333.032257080,148.930053711,-2152.658203125,-332.914428711,157.458236694,-2152.113281250,-417.602661133,104.907478333,-1893.979858398,-416.989379883,94.881919861,-1895.316162109,-295.801818848,-89.742881775,-2157.535156250,-285.630157471,-84.557945251,-2156.521484375,
8,-304.213592529,-110.763442993,-2150.262939453,-301.294799805,-105.030654907,-2145.205322266,-302.505432129,-97.051063538,-2162.740478516,,,,-226.953399658,-100.714752197,-2146.125976563,,,,-333.026580811,148.927124023,-2152.665039063,-332.908660889,157.454452515,-2152.113281250,-417.599822998,104.904983521,-1893.987915039,-416.982055664,94.879699707,-1895.315307617,-292.534576416,-87.673126221,-2156.196533203,-282.299041748,-82.615821838,-2155.339355469,
9,-301.115905762,-108.508346558,-2148.816650391,-298.117431641,-102.785583496,-2143.899169922,-299.563995361,-94.602020264,-2162.020751953,,,,-223.736297607,-99.150184631,-2145.449462891,,,,-333.019195557,148.923202515,-2152.667236328,-332.903991699,157.451324463,-2152.118408203,-417.596557617,104.900230408,-1893.995117188,-416.976562500,94.875122070,-1895.313110352,-289.096130371,-85.395248413,-2154.799804688,-278.784423828,-80.487068176,-2154.044677734,
10,-297.974731445,-106.082664490,-2147.583984375,-294.892333984,-100.439590454,-2142.646728516,-296.519104004,-92.028198242,-2161.413818359,,,,-220.408370972,-97.527549744,-2144.728027344,,,,-333.015197754,148.919845581,-2152.663574219,-332.901885986,157.448822021,-2152.119384766,-417.594146729,104.896171570,-1893.996704102,-416.974273682,94.871894836,-1895.315795898,-285.511260986,-82.978988647,-2153.271972656,-275.122314453,-78.225318909,-2152.616210938,
11,-294.755554199,-103.506622314,-2146.108642578,-291.546051025,-97.945579529,-2141.132324219,-293.306152344,-89.232063293,-2160.340332031,,,,-216.981124878,-95.830146790,-2143.822265625,,,,-333.015228271,148.918792725,-2152.665771484,-332.899932861,157.446044922,-2152.123291016,-417.589904785,104.894981384,-1893.992431641,-416.971801758,94.869697571,-1895.315551758,-281.790283203,-80.427108765,-2151.605712891,-271.323272705,-75.846321106,-2151.026855469,
12,-291.405792236,-100.742126465,-2144.459228516,-288.076721191,-95.273345947,-2139.383789063,-289.954071045,-86.246505737,-2158.975097656,,,,-213.471542358,-94.087608337,-2142.819824219,,,,-333.010955811,148.919464111,-2152.663818359,-332.897705078,157.446884155,-2152.121337891,-417.587890625,104.895713806,-1893.987915039,-416.970642090,94.870704651,-1895.315673828,-277.965087891,-77.741027832,-2149.726562500,-267.425872803,-73.361366272,-2149.264404297,
13,-288.008666992,-97.885932922,-2142.475585938,-284.574676514,-92.484848022,-2137.473144531,,,,,,,-209.955780029,-92.300651550,-2141.661621094,,,,-333.012298584,148.922241211,-2152.659667969,-332.897186279,157.450225830,-2152.115722656,-417.589294434,104.898078918,-1893.986816406,-416.970001221,94.872589111,-1895.311645508,-274.106231689,-74.943344116,-2147.636230469,-263.501892090,-70.752952576,-2147.323242188,
14,-284.754058838,-95.029975891,-2140.627685547,-281.179138184,-89.730522156,-2135.488281250,,,,-281.570770264,-71.595123291,-2156.255859375,-206.562179565,-90.511894226,-2140.356933594,,,,-333.013763428,148.923645020,-2152.649658203,-332.896972656,157.454299927,-2152.113525391,-417.591522217,104.902740479,-1893.974365234,-416.974609375,94.876831055,-1895.308471680,-270.324371338,-72.140991211,-2145.452880859,-259.653717041,-68.121124268,-2145.266357422,
15,-281.657989502,-92.215980530,-2138.673583984,-278.008575439,-87.018714905,-2133.579101563,-279.850616455,-76.608596802,-2152.883544922,-278.056396484,-68.323158264,-2153.671142578,-203.386825562,-88.672798157,-2138.920654297,,,,-333.017578125,148.926925659,-2152.644287109,-332.899871826,157.455917358,-2152.111083984,-417.594787598,104.905906677,-1893.966918945,-416.979980469,94.879913330,-1895.300415039,-266.726684570,-69.357826233,-2143.326904297,-255.973266602,-65.498970032,-2143.149902344,
16,-279.096405029,-89.868377686,-2136.951416016,-275.576843262,-84.543357849,-2131.945556641,-276.854644775,-71.707145691,-2149.907958984,-274.550079346,-63.595642090,-2150.829833984,-200.427642822,-86.800209045,-2137.386962891,,,,-333.018157959,148.930114746,-2152.635986328,-332.902618408,157.456604004,-2152.096923828,-417.596343994,104.909347534,-1893.960693359,-416.983184814,94.882720947,-1895.292968750,-262.970214844,-65.292778015,-2141.109130859,-252.044921875,-62.064266205,-2141.216064453,
17,-277.681945801,-88.661888123,-2135.719482422,-274.265655518,-83.377967834,-2130.533203125,-273.840576172,-65.141593933,-2146.538330078,-271.089263916,-57.479309082,-2148.239990234,-197.976257324,-84.822273254,-2135.790527344,,,,-333.020050049,148.929931641,-2152.628173828,-332.905914307,157.456817627,-2152.083740234,-417.598480225,104.911094666,-1893.954711914,-416.986389160,94.883163452,-1895.288940430,-259.289611816,-59.540622711,-2138.386962891,-248.176620483,-57.202281952,-2139.117431641,
18,-276.201782227,-86.921714783,-2134.469970703,-272.857025146,-81.670028687,-2129.027099609,-271.258300781,-59.971004486,-2144.412597656,-268.128448486,-52.456985474,-2146.147949219,-196.032608032,-82.670860291,-2134.104003906,,,,-333.020843506,148.929229736,-2152.624023438,-332.909057617,157.457015991,-2152.085205078,-417.598327637,104.911628723,-1893.946044922,-416.988220215,94.882072449,-1895.288330078,-256.331878662,-54.883296967,-2136.361083984,-245.123855591,-53.062072754,-2137.348144531,
19,-274.743316650,-84.561645508,-2133.232910156,-271.464508057,-79.373497009,-2127.745117188,-269.199096680,-56.376781464,-2142.750488281,-265.880096436,-48.935348511,-2144.430419922,-194.357391357,-80.360527039,-2132.357421875,,,,-333.018920898,148.930145264,-2152.627197266,-332.909942627,157.456298828,-2152.085205078,-417.598846436,104.910865784,-1893.941406250,-416.987976074,94.881713867,-1895.285156250,-254.112136841,-51.809677124,-2134.803222656,-242.858764648,-50.227252960,-2135.736816406,
20,-273.402832031,-82.189819336,-2131.674072266,-270.206756592,-77.017021179,-2126.269775391,-267.408782959,-52.735919952,-2140.830566406,-263.828796387,-45.364128113,-2142.462402344,-192.905838013,-77.918212891,-2130.623779297,,,,-333.022613525,148.929443359,-2152.632324219,-332.912231445,157.456787109,-2152.092285156,-417.600311279,104.911132813,-1893.945556641,-416.986663818,94.881767273,-1895.284179688,-252.163040161,-48.754680634,-2132.987304688,-240.887634277,-47.432537079,-2133.937011719,
21,-272.366638184,-79.828323364,-2130.382568359,-269.193328857,-74.719734192,-2124.720703125,-265.699645996,-48.605480194,-2138.718750000,-261.892486572,-41.314640045,-2140.203369141,-191.645233154,-75.389488220,-2128.920898438,,,,-333.024963379,148.928985596,-2152.637695313,-332.911041260,157.456008911,-2152.095458984,-417.600616455,104.911277771,-1893.948852539,-416.985870361,94.882011414,-1895.289794922,-250.277938843,-45.100795746,-2130.991699219,-238.995666504,-44.120368958,-2132.034423828,
22,-271.512725830,-77.415786743,-2128.981201172,-268.431060791,-72.358543396,-2123.322998047,-264.229370117,-44.535968781,-2136.747802734,-260.218139648,-37.350124359,-2138.194091797,-190.643066406,-72.765151978,-2127.227783203,,,,-333.026275635,148.928848267,-2152.646728516,-332.910858154,157.456069946,-2152.098632813,-417.597167969,104.911239624,-1893.949462891,-416.985687256,94.882751465,-1895.292724609,-248.677261353,-41.450561523,-2129.128906250,-237.376541138,-40.748516083,-2130.220703125,
23,,,,-267.923889160,-69.912147522,-2122.012695313,-263.108215332,-40.723758698,-2134.976318359,-259.005249023,-33.658969879,-2136.595214844,-189.941101074,-70.071838379,-2125.502197266,,,,-333.024627686,148.929840088,-2152.646484375,-332.911834717,157.456329346,-2152.100097656,-417.594726563,104.910903931,-1893.948364258,-416.985046387,94.883117676,-1895.292724609,-247.488784790,-38.010799408,-2127.382568359,-236.174163818,-37.527648926,-2128.509765625,
24,,,,-267.724853516,-67.412620544,-2120.849853516,-262.350585938,-37.008998871,-2133.372802734,-258.129547119,-30.010848999,-2134.900390625,-189.564147949,-67.298896790,-2123.819580078,,,,-333.027954102,148.928512573,-2152.651855469,-332.913024902,157.456527710,-2152.101074219,-417.595764160,104.911788940,-1893.953002930,-416.986206055,94.884002686,-1895.289672852,-246.678710938,-34.646556854,-2125.736083984,-235.354476929,-34.338493347,-2126.868408203,
25,,,,-267.788635254,-64.780288696,-2119.904785156,-261.876159668,-33.340568542,-2131.962402344,-257.529937744,-26.403202057,-2133.408691406,-189.467437744,-64.428184509,-2122.191894531,,,,-333.028656006,148.930221558,-2152.649658203,-332.915832520,157.456573486,-2152.101318359,-417.597961426,104.912673950,-1893.951660156,-416.988220215,94.884414673,-1895.291137695,-246.203659058,-31.271116257,-2124.334228516,-234.871917725,-31.123394012,-2125.406494141,
26,,,,-268.046752930,-62.013072968,-2119.073486328,-261.662719727,-29.671588898,-2130.821777344,-257.200988770,-22.784172058,-2132.175537109,-189.597976685,-61.441581726,-2120.575683594,,,,-333.032684326,148.930465698,-2152.647705078,-332.917785645,157.457763672,-2152.104980469,-417.598083496,104.913871765,-1893.950195313,-416.988342285,94.885406494,-1895.285644531,-245.994781494,-27.852489471,-2123.079589844,-234.660675049,-27.838666916,-2124.104248047,
27,,,,-268.486724854,-59.072654724,-2118.324951172,-261.647369385,-25.982437134,-2129.708740234,-257.073333740,-19.114671707,-2130.981933594,-189.920593262,-58.344402313,-2119.051025391,,,,-333.034729004,148.931274414,-2152.642822266,-332.920593262,157.458511353,-2152.099609375,-417.597747803,104.914375305,-1893.949829102,-416.987762451,94.885391235,-1895.281616211,-245.995132446,-24.374565125,-2121.913085938,-234.655639648,-24.481517792,-2122.880371094,
28,,,,-269.079162598,-56.014205933,-2117.753906250,-261.816101074,-22.250566483,-2128.763183594,-257.152526855,-15.413254738,-2129.837890625,-190.429031372,-55.167102814,-2117.652099609,,,,-333.033599854,148.930526733,-2152.634277344,-332.921844482,157.458587646,-2152.102050781,-417.597534180,104.914443970,-1893.945922852,-416.986938477,94.885314941,-1895.279907227,-246.182235718,-20.845359802,-2120.845703125,-234.840408325,-21.072185516,-2121.741699219,
29,,,,-269.809906006,-52.914096832,-2117.243652344,-262.156372070,-18.490261078,-2127.938720703,-257.395751953,-11.705408096,-2128.948730469,-191.091690063,-51.923782349,-2116.324218750,,,,-333.036499023,148.931716919,-2152.637939453,-332.924011230,157.459182739,-2152.096679688,-417.598419189,104.915382385,-1893.939331055,-416.987365723,94.885604858,-1895.280517578,-246.536376953,-17.274866104,-2119.910644531,-235.194168091,-17.614549637,-2120.736816406,
30,,,,-270.673736572,-49.756175995,-2116.888916016,-262.643341064,-14.742182732,-2127.232666016,-257.794586182,-8.006411552,-2128.299316406,-191.875289917,-48.647441864,-2115.045410156,,,,-333.035583496,148.931991577,-2152.630371094,-332.922302246,157.458663940,-2152.095703125,-417.600799561,104.914627075,-1893.942504883,-416.985412598,94.886001587,-1895.280639648,-247.053482056,-13.690407753,-2119.109863281,-235.716247559,-14.127472878,-2119.844970703,
31,,,,-271.618194580,-46.606292725,-2116.559082031,-263.257873535,-11.029258728,-2126.608398438,-258.324035645,-4.362785816,-2127.780029297,-192.789581299,-45.338077545,-2113.920166016,,,,-333.033447266,148.930541992,-2152.629150391,-332.918762207,157.459136963,-2152.090332031,-417.602355957,104.913597107,-1893.941284180,-416.984252930,94.885253906,-1895.280761719,-247.710723877,-10.133739471,-2118.398681641,-236.387039185,-10.666360855,-2119.058593750,
32,,,,-272.610687256,-43.540248871,-2116.329101563,-263.943450928,-7.353602409,-2126.086914063,-258.940063477,-0.716954708,-2127.093994141,-193.781295776,-42.049789429,-2112.809570313,,,,-333.031005859,148.930740356,-2152.624267578,-332.916015625,157.459335327,-2152.087158203,-417.604309082,104.912780762,-1893.942260742,-416.987030029,94.884773254,-1895.281127930,-248.463562012,-6.609470844,-2117.806640625,-237.129898071,-7.234507084,-2118.361083984,
33,,,,-273.673095703,-40.561855316,-2116.048095703,-264.701232910,-3.783155680,-2125.640136719,-259.654235840, 2.789039612,-2126.663574219,-194.844589233,-38.871082306,-2111.779541016,,,,-333.030395508,148.929840088,-2152.619873047,-332.918212891,157.459762573,-2152.099365234,-417.606658936,104.912536621,-1893.943359375,-416.991027832,94.884552002,-1895.282348633,-249.290573120,-3.175250292,-2117.228271484,-237.947235107,-3.882673979,-2117.716064453,
34,,,,-274.801666260,-37.688217163,-2115.908935547,-265.585479736,-0.416965723,-2125.188232422,-260.471008301, 6.120595932,-2126.140380859,-195.980499268,-35.807559967,-2110.701416016,,,,-333.032104492,148.930679321,-2152.629882813,-332.916503906,157.460372925,-2152.102539063,-417.605773926,104.912727356,-1893.946289063,-416.993865967,94.883949280,-1895.284301758,-250.201889038, 0.067760244,-2116.593261719,-238.866104126,-0.711245060,-2117.010009766,
35,,,,-275.983489990,-34.912307739,-2115.615478516,-266.513214111, 2.791443348,-2124.600341797,-261.349731445, 9.308900833,-2125.568359375,-197.183441162,-32.865997314,-2109.586181641,,,,-333.027496338,148.929641724,-2152.625244141,-332.912902832,157.458633423,-2152.097656250,-417.602661133,104.911277771,-1893.945800781,-416.992095947,94.883491516,-1895.285644531,-251.208404541, 3.155529499,-2115.947265625,-239.875289917, 2.311295748,-2116.288085938,
