Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-304.107818604,-109.857978821,-2145.116455078,-301.009582520,-102.054000854,-2144.722167969,-310.694549561,-100.526473999,-2150.083984375,-313.100494385,-93.706275940,-2155.137695313,-239.940124512,-92.294036865,-2183.453857422,,,,-333.462707520,149.245498657,-2152.871582031,-333.366027832,157.753707886,-2152.263916016,-418.679870605,107.401435852,-1892.776611328,-418.252746582,97.305343628,-1893.683837891,-299.054840088,-89.348060608,-2153.641601563,,,,
2,-301.771911621,-110.000770569,-2145.228515625,-298.625366211,-102.215377808,-2144.640869141,-308.925750732,-99.879478455,-2150.616943359,-311.092285156,-93.169166565,-2155.950683594,-237.452575684,-92.320198059,-2183.150634766,,,,-333.471343994,149.260650635,-2152.870117188,-333.373382568,157.768020630,-2152.262451172,-418.685302734,107.417968750,-1892.770629883,-418.258819580,97.320320129,-1893.681518555,-296.962371826,-89.018737793,-2154.091552734,,,,
3,-299.064483643,-109.823219299,-2145.335693359,-295.889282227,-102.076362610,-2144.647705078,-306.657562256,-98.919250488,-2151.123291016,-308.598785400,-92.326820374,-2156.774658203,-234.499221802,-92.220626831,-2182.930664063,,,,-333.481994629,149.272323608,-2152.872314453,-333.381378174,157.780776978,-2152.251708984,-418.695465088,107.429664612,-1892.765625000,-418.266601563,97.334548950,-1893.678588867,-294.357421875,-88.378395081,-2154.540283203,,,,
4,-295.825592041,-109.597526550,-2145.193115234,-292.498107910,-101.946449280,-2144.242675781,-303.786499023,-98.117515564,-2152.181884766,-305.547180176,-91.262725830,-2157.470458984,-231.123703003,-91.912292480,-2182.812011719,,,,-333.488861084,149.281997681,-2152.863281250,-333.388702393,157.791748047,-2152.243896484,-418.699371338,107.439674377,-1892.755981445,-418.271514893,97.344993591,-1893.677490234,-291.377471924,-87.654167175,-2155.192382813,,,,
5,-291.854156494,-109.267532349,-2144.277587891,-288.445281982,-101.685760498,-2143.198730469,-301.214447021,-97.668098450,-2154.298339844,-302.703094482,-90.576896667,-2159.221191406,-227.426162720,-91.301162720,-2182.853027344,,,,-333.490631104,149.291137695,-2152.864257813,-333.390747070,157.799896240,-2152.235595703,-418.697387695,107.446502686,-1892.749023438,-418.268554688,97.352813721,-1893.678955078,-288.467468262,-87.165977478,-2156.441894531,,,,
6,-288.048767090,-108.511306763,-2143.874755859,-284.568176270,-100.970375061,-2142.656005859,-298.220428467,-96.891807556,-2156.191650391,-299.393981934,-89.651847839,-2160.798339844,-223.384796143,-90.350715637,-2182.950439453,,,,-333.488616943,149.295654297,-2152.862548828,-333.389129639,157.806854248,-2152.237548828,-418.690917969,107.452095032,-1892.749511719,-418.264831543,97.359886169,-1893.683227539,-285.147277832,-86.504730225,-2157.627929688,,,,
7,-284.356933594,-107.232795715,-2143.726806641,-280.844238281,-99.726272583,-2142.421386719,-294.273742676,-94.938003540,-2156.753906250,-295.262084961,-87.647193909,-2161.384033203,-219.075164795,-89.169876099,-2182.972167969,,,,-333.488922119,149.300384521,-2152.867675781,-333.392242432,157.812088013,-2152.247070313,-418.690887451,107.455062866,-1892.753906250,-418.265258789,97.365478516,-1893.686889648,-281.000518799,-84.838081360,-2158.119628906,-272.222167969,-80.994400024,-2164.508789063,
8,-280.742462158,-105.307846069,-2143.791503906,-277.132598877,-97.902458191,-2142.364990234,-289.847778320,-91.763656616,-2156.548095703,-290.638183594,-84.484542847,-2161.102294922,-214.584686279,-87.779663086,-2183.012695313,,,,-333.487152100,149.303741455,-2152.871337891,-333.390167236,157.815292358,-2152.256347656,-418.693634033,107.457664490,-1892.761230469,-418.267333984,97.368087769,-1893.685302734,-276.330902100,-82.063591003,-2158.065185547,-267.517883301,-78.472801208,-2164.611816406,
9,-277.147674561,-102.885505676,-2143.793212891,-273.429656982,-95.575630188,-2142.265625000,-285.344909668,-87.969833374,-2156.077148438,-285.980957031,-80.754364014,-2160.827880859,-210.066467285,-86.145309448,-2182.823486328,,,,-333.481903076,149.305114746,-2152.877441406,-333.384490967,157.815948486,-2152.266113281,-418.695495605,107.461486816,-1892.768066406,-418.266021729,97.368919373,-1893.684204102,-271.584045410,-78.669441223,-2157.834228516,-262.708251953,-75.327552795,-2164.312988281,
10,-273.713836670,-100.043388367,-2143.757812500,-269.891174316,-92.800415039,-2142.053955078,-281.121490479,-84.117210388,-2155.856689453,-281.540435791,-76.932991028,-2160.651367188,-205.717651367,-84.279579163,-2182.348144531,,,,-333.479492188,149.303253174,-2152.879882813,-333.382080078,157.816360474,-2152.279052734,-418.696136475,107.463813782,-1892.776245117,-418.264312744,97.369834900,-1893.682128906,-267.134582520,-75.163017273,-2157.689697266,,,,
11,-270.776367188,-96.802711487,-2143.670898438,-266.842590332,-89.672302246,-2141.910644531,-277.468078613,-80.291282654,-2155.926757813,-277.662628174,-73.168632507,-2160.918945313,-201.703781128,-82.209838867,-2181.441162109,,,,-333.477874756,149.301666260,-2152.884033203,-333.380615234,157.815399170,-2152.280029297,-418.694396973,107.466369629,-1892.777832031,-418.261322021,97.370231628,-1893.681518555,-263.204223633,-71.656547546,-2157.588623047,,,,
12,-268.617645264,-93.392875671,-2143.794189453,-264.605804443,-86.363296509,-2141.841064453,-274.436676025,-76.188690186,-2156.119384766,-274.294433594,-69.059616089,-2161.006591797,-198.196823120,-79.947349548,-2180.009521484,,,,-333.480316162,149.298568726,-2152.885009766,-333.380889893,157.813583374,-2152.278076172,-418.695465088,107.466499329,-1892.781005859,-418.261016846,97.368240356,-1893.677490234,-259.884765625,-67.948661804,-2157.467041016,,,,
13,-267.095947266,-89.936645508,-2143.890625000,-263.018768311,-83.026626587,-2141.669921875,-272.087219238,-71.673500061,-2156.326904297,-271.523712158,-64.555770874,-2161.085449219,-195.281585693,-77.427612305,-2178.115722656,,,,-333.478057861,149.295700073,-2152.881347656,-333.379547119,157.811599731,-2152.279052734,-418.694488525,107.463973999,-1892.781372070,-418.257019043,97.364768982,-1893.667114258,-257.192260742,-63.917675018,-2157.277343750,,,,
14,-266.075408936,-86.443946838,-2143.803955078,-261.991790771,-79.652778625,-2141.381103516,-270.258636475,-66.782897949,-2156.549072266,-269.279937744,-59.692634583,-2161.279541016,-192.939453125,-74.569305420,-2175.846435547,,,,-333.475921631,149.292510986,-2152.884521484,-333.377929688,157.806457520,-2152.267822266,-418.688690186,107.461746216,-1892.776123047,-418.251953125,97.360961914,-1893.661254883,-255.054016113,-59.569049835,-2157.044189453,-245.254470825,-57.446262360,-2162.620117188,
15,-265.467681885,-82.977722168,-2143.650146484,-261.429168701,-76.266433716,-2140.984619141,-268.785339355,-61.550491333,-2156.597656250,-267.459960938,-54.639469147,-2161.731201172,-191.080810547,-71.301971436,-2173.466796875,,,,-333.479980469,149.289596558,-2152.892578125,-333.378387451,157.801467896,-2152.264404297,-418.687225342,107.459808350,-1892.771362305,-418.253234863,97.358329773,-1893.657958984,-253.288085938,-54.887996674,-2156.622070313,-243.268218994,-53.111236572,-2162.001708984,
16,-264.971008301,-79.364089966,-2143.127685547,-261.008972168,-72.705551147,-2140.311767578,-267.541870117,-56.068485260,-2156.343017578,-265.800689697,-49.195289612,-2161.339355469,-189.568267822,-67.598777771,-2170.942138672,,,,-333.485687256,149.288757324,-2152.894042969,-333.383941650,157.799194336,-2152.257080078,-418.689056396,107.459754944,-1892.765869141,-418.258300781,97.358016968,-1893.652954102,-251.799468994,-49.917831421,-2155.993896484,-241.597457886,-48.460750580,-2161.090576172,
17,-264.510223389,-75.559020996,-2142.464355469,-260.657073975,-68.946601868,-2139.451416016,-266.436920166,-50.498107910,-2155.657958984,-264.316619873,-43.604385376,-2160.213623047,-188.344848633,-63.496829987,-2168.394042969,,,,-333.491577148,149.291900635,-2152.904296875,-333.386901855,157.799682617,-2152.260498047,-418.689605713,107.461318970,-1892.759033203,-418.261932373,97.360900879,-1893.654785156,-250.506225586,-44.795658112,-2155.002197266,-240.157592773,-43.616226196,-2159.967285156,
18,-264.008758545,-71.551345825,-2141.383300781,-260.242950439,-64.967407227,-2138.166259766,-265.396911621,-45.043365479,-2154.544433594,-263.031280518,-38.253074646,-2159.079589844,-187.249099731,-59.083122253,-2165.806152344,,,,-333.490051270,149.296478271,-2152.899902344,-333.389282227,157.802627563,-2152.278808594,-418.687683105,107.465980530,-1892.752929688,-418.260620117,97.367866516,-1893.658691406,-249.343368530,-39.678226471,-2153.600585938,-238.878540039,-38.667385101,-2158.341064453,
19,-263.483428955,-67.337219238,-2140.032226563,-259.811767578,-60.801330566,-2136.687011719,-264.434722900,-39.688266754,-2152.892578125,-261.861846924,-32.943305969,-2157.520996094,-186.271636963,-54.468555450,-2163.164062500,,,,-333.496459961,149.304260254,-2152.912597656,-333.396545410,157.807632446,-2152.284667969,-418.691040039,107.472038269,-1892.756591797,-418.260192871,97.374839783,-1893.661499023,-248.269058228,-34.581275940,-2151.787109375,-237.733825684,-33.703330994,-2156.314453125,
20,-263.128845215,-62.925331116,-2138.543701172,-259.538146973,-56.425437927,-2135.088134766,-263.600158691,-34.244571686,-2151.004638672,-260.910003662,-27.582174301,-2155.705322266,-185.473434448,-49.719627380,-2160.325927734,,,,-333.502441406,149.310638428,-2152.901367188,-333.403869629,157.814636230,-2152.293945313,-418.693969727,107.477340698,-1892.759643555,-418.261779785,97.381332397,-1893.667358398,-247.338607788,-29.435356140,-2149.753906250,-236.760284424,-28.705152512,-2154.229980469,
