Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-315.499053955,-198.181900024,-2139.141357422,-308.394592285,-195.672943115,-2141.233642578,-316.705596924,-178.699356079,-2142.696044922,-317.258300781,-186.188629150,-2143.403320313,-248.511413574,-220.791885376,-2165.928710938,-255.770431519,-223.506835938,-2160.639404297,-338.176086426,73.704010010,-2142.833251953,-338.872863770,81.827713013,-2142.573242188,-408.229858398,13.684140205,-1911.209350586,-409.596740723, 3.670254469,-1910.751342773,-285.826110840,-180.730972290,-2148.811279297,-289.612884521,-187.397323608,-2146.260498047,
2,-315.331817627,-198.104965210,-2139.129638672,-308.268005371,-195.540817261,-2141.276611328,-316.619964600,-178.637435913,-2142.718994141,-317.160705566,-186.124481201,-2143.419433594,-248.268173218,-220.312469482,-2166.170898438,-255.484588623,-223.062698364,-2160.916259766,-338.178314209,73.709564209,-2142.839599609,-338.874633789,81.833953857,-2142.576660156,-408.231323242,13.688049316,-1911.211791992,-409.594818115, 3.675685644,-1910.746093750,-285.774932861,-180.452362061,-2149.002929688,-289.514343262,-187.175155640,-2146.525634766,
3,-315.091888428,-197.935317993,-2139.143798828,-308.097015381,-195.315551758,-2141.370361328,-316.546203613,-178.484603882,-2142.790039063,-317.039550781,-185.977508545,-2143.448486328,-248.006774902,-219.733352661,-2166.392089844,-255.187118530,-222.518020630,-2161.187255859,-338.188568115,73.714927673,-2142.840087891,-338.883758545,81.840072632,-2142.586181641,-408.239105225,13.692777634,-1911.213745117,-409.601684570, 3.680818558,-1910.737060547,-285.727874756,-180.072341919,-2149.242919922,-289.389923096,-186.831649780,-2146.675781250,
4,-314.855224609,-197.753524780,-2139.096923828,-307.929473877,-195.073104858,-2141.421142578,-316.457489014,-178.293731689,-2142.874023438,-316.888153076,-185.797683716,-2143.479492188,-247.677474976,-219.066360474,-2166.595458984,-254.829544067,-221.894317627,-2161.446044922,-338.182281494,73.719062805,-2142.836425781,-338.880615234,81.843673706,-2142.583496094,-408.233825684,13.698153496,-1911.212036133,-409.595520020, 3.685789585,-1910.733276367,-285.667114258,-179.628967285,-2149.469726563,-289.250122070,-186.419281006,-2146.840332031,
5,-314.689453125,-197.657119751,-2138.923583984,-307.833953857,-194.877456665,-2141.332031250,-316.346496582,-178.103332520,-2142.905273438,-316.709991455,-185.618591309,-2143.524169922,-247.276336670,-218.318054199,-2166.838623047,-254.388412476,-221.205490112,-2161.654785156,-338.171722412,73.722778320,-2142.848876953,-338.869934082,81.849159241,-2142.594482422,-408.221923828,13.704399109,-1911.214355469,-409.584228516, 3.692076445,-1910.744384766,-285.587921143,-179.148773193,-2149.698974609,-289.092193604,-185.957473755,-2147.029052734,
6,-314.530609131,-197.590026855,-2138.680908203,-307.747375488,-194.700271606,-2141.145751953,-316.258270264,-177.846923828,-2142.955078125,-316.536315918,-185.367141724,-2143.516845703,-246.826828003,-217.491806030,-2167.079101563,-253.880477905,-220.431533813,-2161.752197266,-338.166564941,73.727394104,-2142.847656250,-338.862762451,81.856002808,-2142.600830078,-408.215789795,13.710888863,-1911.211425781,-409.579620361, 3.696665287,-1910.744995117,-285.520782471,-178.631561279,-2149.942626953,-288.941223145,-185.437957764,-2147.101562500,
7,-314.317199707,-197.508575439,-2138.317382813,-307.611114502,-194.499710083,-2140.875000000,-316.186676025,-177.569900513,-2143.016845703,-316.372009277,-185.098922729,-2143.510742188,-246.316574097,-216.599014282,-2167.183349609,-253.320144653,-219.580596924,-2161.767578125,-338.177215576,73.733238220,-2142.848144531,-338.873046875,81.860328674,-2142.601562500,-408.220947266,13.717666626,-1911.204223633,-409.585968018, 3.704314470,-1910.746582031,-285.467224121,-178.074142456,-2150.166015625,-288.786956787,-184.884338379,-2147.070068359,
8,-313.988952637,-197.385406494,-2137.870117188,-307.367126465,-194.246124268,-2140.477539063,-316.060729980,-177.271484375,-2143.009033203,-316.150604248,-184.811447144,-2143.488037109,-245.718780518,-215.644165039,-2167.071533203,-252.682022095,-218.665740967,-2161.677490234,-338.180358887,73.738990784,-2142.846923828,-338.877929688,81.865585327,-2142.603515625,-408.223266602,13.723252296,-1911.205688477,-409.587066650, 3.710073948,-1910.746093750,-285.365447998,-177.448059082,-2150.309814453,-288.584869385,-184.273880005,-2146.946777344,
9,-313.573455811,-197.191131592,-2137.390625000,-307.023803711,-193.942550659,-2140.041503906,-315.870544434,-176.864395142,-2143.131103516,-315.844116211,-184.403533936,-2143.535156250,-245.024902344,-214.629501343,-2166.937988281,-251.975097656,-217.685379028,-2161.509521484,-338.174346924,73.742454529,-2142.851074219,-338.872314453,81.868019104,-2142.597656250,-408.220367432,13.729768753,-1911.209228516,-409.582885742, 3.715564489,-1910.741455078,-285.136688232,-176.703643799,-2150.355224609,-288.282806396,-183.529159546,-2146.880126953,
10,-313.081787109,-196.941314697,-2136.891113281,-306.601074219,-193.573883057,-2139.534912109,-315.501281738,-176.113555908,-2143.287841797,-315.406982422,-183.647506714,-2143.626220703,-244.276184082,-213.553909302,-2166.719238281,-251.227401733,-216.644973755,-2161.306640625,-338.168975830,73.744995117,-2142.845947266,-338.868225098,81.871284485,-2142.599121094,-408.214630127,13.734148026,-1911.201660156,-409.577819824, 3.718560219,-1910.733886719,-284.732086182,-175.779281616,-2150.352050781,-287.851409912,-182.615203857,-2146.881347656,
