Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-315.577117920,-196.833572388,-2139.402832031,-308.460021973,-194.192031860,-2141.282714844,-316.420715332,-177.347412109,-2144.335449219,-315.743133545,-184.885375977,-2144.172607422,-246.243743896,-216.681167603,-2160.685791016,-253.707214355,-219.159881592,-2155.839843750,-338.128448486,73.777832031,-2142.902099609,-338.851776123,81.907493591,-2142.727050781,-408.219909668,13.738110542,-1911.161743164,-409.577209473, 3.722665787,-1910.701904297,-285.541351318,-176.185134888,-2149.838134766,-289.360260010,-183.273712158,-2151.855957031,
2,-315.463775635,-196.688034058,-2139.357177734,-308.389953613,-193.900802612,-2141.215576172,-316.507385254,-177.217376709,-2144.289062500,-315.769744873,-184.740127563,-2144.099365234,-245.436355591,-215.402999878,-2160.355224609,-252.879913330,-218.012680054,-2155.479980469,-338.130096436,73.781799316,-2142.889404297,-338.854980469,81.912498474,-2142.722656250,-408.221557617,13.739097595,-1911.161132813,-409.581085205, 3.722861052,-1910.706298828,-285.598358154,-175.633499146,-2149.602294922,-289.301971436,-182.746963501,-2151.397705078,
3,-315.286712646,-196.442291260,-2139.333984375,-308.284942627,-193.502883911,-2141.206542969,-316.633758545,-177.015319824,-2144.423339844,-315.810150146,-184.517486572,-2144.181152344,-244.577499390,-213.973968506,-2159.815917969,-252.005050659,-216.729980469,-2155.016601563,-338.133544922,73.783576965,-2142.875000000,-338.858337402,81.916587830,-2142.713134766,-408.226287842,13.739909172,-1911.159545898,-409.586914063, 3.723315954,-1910.703369141,-285.658813477,-174.970367432,-2149.451660156,-289.254699707,-182.138732910,-2151.020019531,
4,-315.059570313,-196.074188232,-2139.434082031,-308.121734619,-192.973632813,-2141.281005859,-316.727630615,-176.673248291,-2144.546875000,-315.808929443,-184.162475586,-2144.269042969,-243.650726318,-212.342788696,-2159.199707031,-251.088363647,-215.254776001,-2154.572998047,-338.134887695,73.788131714,-2142.876220703,-338.856597900,81.919677734,-2142.697509766,-408.226898193,13.740543365,-1911.156494141,-409.589355469, 3.725982428,-1910.701049805,-285.725891113,-174.182189941,-2149.368896484,-289.222869873,-181.413330078,-2150.742919922,
5,-314.688690186,-195.541320801,-2139.455566406,-307.844360352,-192.278411865,-2141.347412109,-316.731323242,-176.172760010,-2144.760986328,-315.706481934,-183.637161255,-2144.407470703,-242.713790894,-210.560012817,-2158.846191406,-250.101196289,-213.586364746,-2154.164306641,-338.132202148,73.792541504,-2142.863037109,-338.854095459,81.924766541,-2142.692626953,-408.227050781,13.743639946,-1911.157958984,-409.587219238, 3.729293346,-1910.693359375,-285.695617676,-173.226364136,-2149.298828125,-289.083892822,-180.472152710,-2150.480468750,
6,-314.113189697,-194.795364380,-2139.496582031,-307.364135742,-191.371994019,-2141.429199219,-316.499084473,-175.436019897,-2144.997070313,-315.383361816,-182.874588013,-2144.655517578,-241.651840210,-208.638854980,-2158.295410156,-249.016677856,-211.811386108,-2153.741455078,-338.130859375,73.797195435,-2142.846679688,-338.852050781,81.929008484,-2142.682128906,-408.227539063,13.746865273,-1911.153686523,-409.587432861, 3.733375072,-1910.687866211,-285.439544678,-172.073699951,-2149.248535156,-288.724914551,-179.312713623,-2150.282714844,
7,-313.482879639,-193.943908691,-2139.353027344,-306.820129395,-190.353698730,-2141.290039063,-315.953765869,-174.517944336,-2145.320556641,-314.744293213,-181.953674316,-2145.052001953,-240.446746826,-206.657928467,-2157.812744141,-247.809799194,-209.895401001,-2153.250732422,-338.130432129,73.799148560,-2142.840332031,-338.854949951,81.932586670,-2142.680419922,-408.227264404,13.749551773,-1911.147460938,-409.588775635, 3.736529112,-1910.685546875,-284.905395508,-170.700317383,-2149.257080078,-288.125579834,-177.994857788,-2150.296875000,
8,-312.564727783,-192.885772705,-2138.972656250,-305.982879639,-189.141387939,-2140.971191406,-315.070312500,-173.296112061,-2145.478759766,-313.784240723,-180.713699341,-2145.145507813,-239.099014282,-204.564926147,-2157.299804688,-246.452743530,-207.869415283,-2152.864746094,-338.127075195,73.802650452,-2142.842041016,-338.851623535,81.933418274,-2142.673583984,-408.223815918,13.752114296,-1911.144775391,-409.584259033, 3.736822605,-1910.682006836,-284.064697266,-169.100906372,-2149.221679688,-287.188171387,-176.414855957,-2149.996582031,
9,-311.264831543,-191.488723755,-2138.625976563,-304.721618652,-187.648345947,-2140.491943359,-313.911926270,-171.757019043,-2145.439697266,-312.565551758,-179.158493042,-2145.163818359,-237.593490601,-202.398620605,-2156.857421875,-244.915664673,-205.755645752,-2152.382080078,-338.119873047,73.804695129,-2142.848144531,-338.841827393,81.935218811,-2142.673095703,-408.215026855,13.752464294,-1911.141479492,-409.575836182, 3.737524033,-1910.682739258,-282.895202637,-167.292404175,-2148.990234375,-285.967163086,-174.583908081,-2149.773681641,
10,-309.632995605,-189.750595093,-2138.156250000,-303.117675781,-185.883926392,-2140.052734375,-312.440795898,-169.845306396,-2145.196533203,-311.062194824,-177.235610962,-2144.871093750,-235.916610718,-200.147109985,-2156.390136719,-243.232009888,-203.531906128,-2151.922607422,-338.109954834,73.803497314,-2142.847167969,-338.830841064,81.935775757,-2142.668212891,-408.205932617,13.753513336,-1911.146972656,-409.567047119, 3.738609791,-1910.687377930,-281.434844971,-165.243713379,-2148.632324219,-284.495483398,-172.544754028,-2149.407470703,
