Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-315.195922852,-197.260543823,-2139.083251953,-308.426879883,-194.638366699,-2141.836181641,-314.666381836,-179.029342651,-2143.212158203,-312.904022217,-186.395217896,-2143.255615234,-247.363876343,-215.631057739,-2170.183837891,-253.942871094,-218.141677856,-2164.034423828,-338.116851807,73.802307129,-2142.865478516,-338.829864502,81.926666260,-2142.633544922,-408.265014648,13.723364830,-1911.153076172,-409.633941650, 3.704018116,-1910.699707031,-285.243408203,-175.343460083,-2153.687744141,-288.661468506,-182.471084595,-2154.750976563,
2,-314.880676270,-197.059478760,-2139.006835938,-308.214874268,-194.309722900,-2141.873291016,-314.590545654,-178.793823242,-2143.281005859,-312.828308105,-186.156967163,-2143.281738281,-246.752822876,-214.649383545,-2170.517089844,-253.277465820,-217.215896606,-2164.307617188,-338.122650146,73.804420471,-2142.868408203,-338.835571289,81.927597046,-2142.638916016,-408.266662598,13.723810196,-1911.152465820,-409.635986328, 3.705275774,-1910.702148438,-285.223083496,-174.917907715,-2153.885742188,-288.483093262,-182.015197754,-2154.696044922,
3,-314.519409180,-196.800399780,-2138.935302734,-307.954223633,-193.909317017,-2141.830566406,-314.518341064,-178.495864868,-2143.312988281,-312.743988037,-185.864151001,-2143.302734375,-246.158981323,-213.584121704,-2170.713134766,-252.632537842,-216.224365234,-2164.440185547,-338.125366211,73.805114746,-2142.873535156,-338.837341309,81.930068970,-2142.639404297,-408.268218994,13.726741791,-1911.156982422,-409.638214111, 3.706630945,-1910.705932617,-285.181793213,-174.407287598,-2153.975097656,-288.296508789,-181.502822876,-2154.696044922,
4,-314.162567139,-196.404281616,-2138.931884766,-307.700531006,-193.389999390,-2141.951171875,-314.480499268,-178.055953979,-2143.489013672,-312.719696045,-185.419799805,-2143.484619141,-245.494369507,-212.423538208,-2170.570312500,-251.974090576,-215.178634644,-2164.401367188,-338.126800537,73.806045532,-2142.870605469,-338.836700439,81.930892944,-2142.632812500,-408.269836426,13.729870796,-1911.157592773,-409.638458252, 3.709269524,-1910.706420898,-285.065429688,-173.769104004,-2154.010498047,-288.093353271,-180.835891724,-2154.485107422,
5,-313.826232910,-195.810745239,-2139.171142578,-307.441467285,-192.700103760,-2142.302734375,-314.282318115,-177.253219604,-2143.930175781,-312.574462891,-184.622879028,-2143.930419922,-244.747894287,-211.221374512,-2170.280517578,-251.244308472,-214.037750244,-2164.241943359,-338.129486084,73.806526184,-2142.876708984,-338.843292236,81.931945801,-2142.632080078,-408.271697998,13.731578827,-1911.153198242,-409.638946533, 3.711738348,-1910.699462891,-284.757751465,-172.867172241,-2154.113281250,-287.781311035,-179.840347290,-2154.088623047,
6,-313.449768066,-195.101684570,-2139.456787109,-307.115509033,-191.889205933,-2142.579833984,-313.875762939,-176.098251343,-2144.459716797,-312.194793701,-183.470123291,-2144.377197266,-243.923339844,-209.976928711,-2170.091796875,-250.429275513,-212.766983032,-2164.017578125,-338.136596680,73.807495117,-2142.870605469,-338.849517822,81.932960510,-2142.632812500,-408.277130127,13.733490944,-1911.148437500,-409.642028809, 3.713808775,-1910.691162109,-284.236846924,-171.714813232,-2154.347656250,-287.236267090,-178.609985352,-2153.932861328,
7,-312.911071777,-194.291168213,-2139.597167969,-306.605346680,-191.008010864,-2142.739501953,-313.249725342,-174.853515625,-2144.891113281,-311.603576660,-182.236923218,-2144.878173828,-242.936065674,-208.624023438,-2169.725341797,-249.502792358,-211.435699463,-2163.762451172,-338.142669678,73.808410645,-2142.874755859,-338.853149414,81.932090759,-2142.625732422,-408.280883789,13.734538078,-1911.145629883,-409.647277832, 3.715259790,-1910.689941406,-283.517791748,-170.443862915,-2154.519042969,-286.521148682,-177.344360352,-2154.030517578,
8,-312.178161621,-193.268814087,-2139.843750000,-305.871734619,-189.925628662,-2142.946777344,-312.366577148,-173.555679321,-2145.136962891,-310.753051758,-180.952178955,-2145.079345703,-241.762054443,-207.164978027,-2169.306640625,-248.394653320,-210.024703979,-2163.465576172,-338.141998291,73.808792114,-2142.868652344,-338.853729248,81.931869507,-2142.618896484,-408.281890869,13.734279633,-1911.143432617,-409.647918701, 3.715234518,-1910.680664063,-282.590484619,-169.100067139,-2154.515136719,-285.608245850,-175.958389282,-2153.947753906,
9,-311.225158691,-192.018203735,-2140.210937500,-304.893127441,-188.623596191,-2143.152832031,-311.329071045,-172.190200806,-2145.352294922,-309.716766357,-179.567977905,-2145.268066406,-240.449386597,-205.602371216,-2169.088134766,-247.084640503,-208.467208862,-2163.124511719,-338.141174316,73.810089111,-2142.866210938,-338.852142334,81.933143616,-2142.618408203,-408.279785156,13.734132767,-1911.143920898,-409.647369385, 3.715300083,-1910.683959961,-281.481781006,-167.648193359,-2154.475585938,-284.462554932,-174.449935913,-2153.690185547,
10,-310.001129150,-190.624160767,-2140.523193359,-303.655426025,-187.172851563,-2143.308837891,-310.108489990,-170.650848389,-2145.493896484,-308.505645752,-178.037551880,-2145.478027344,-238.974548340,-203.848724365,-2168.722167969,-245.633834839,-206.747955322,-2162.925781250,-338.137939453,73.810607910,-2142.859619141,-338.850402832,81.932601929,-2142.616455078,-408.279388428,13.735311508,-1911.146606445,-409.647979736, 3.714973688,-1910.687988281,-280.237518311,-166.039794922,-2154.527343750,-283.182769775,-172.794158936,-2153.500488281,
