"translation","V1","V2","TimeSec","TimeAbsolute"
"4cm",63,65401.2,65.4012,0
"2cm",62,75965.3,75.9653,0
"4cm",63,85446.4,85.4464,0
"4cm",63,95260.8,95.2608,0
"2cm",62,103592.1,103.5921,0
"1cm",61,113306.5,113.3065,0
"1cm",61,122737.6,122.7376,0
"4cm",63,132117,132.117,0
"2cm",62,144165.9,144.1659,0
"4cm",63,154880.1,154.8801,0
"1cm",61,164411.1,164.4111,0
"2cm",62,173009,173.009,0
"2cm",62,182290.3,182.2903,0
"4cm",63,192254.6,192.2546,0
"1cm",61,201352.4,201.3524,0
"2cm",62,210017.1,210.0171,0
"4cm",63,218798.3,218.7983,0
"1cm",61,227729.6,227.7296,0
"1cm",61,236827.4,236.8274,0
"1cm",61,245492,245.492,0
"2cm",62,254406.6,254.4066,0
"4cm",63,263704.4,263.7044,0
"2cm",62,271385.9,271.3859,0
"1cm",61,287032.2,287.0322,0
"4cm",63,327020.4,327.0204,0
"1cm",61,344768.6,344.7686,0
"2cm",62,372262.1,372.2621,0
"4cm",63,391790.9,391.7909,0
"2cm",62,420234.1,420.2341,0
"1cm",61,439512.9,439.5129,0
"4cm",63,452193.3,452.1933,0
"1cm",61,472488.5,472.4885,0
"2cm",62,608473.1,608.4731,0
"2cm",62,622286.5,622.2865,0
"4cm",63,640465.5,640.4655,0
"2cm",62,667609.1,667.6091,0
"2cm",62,681922.4,681.9224,0
"1cm",61,714264.8,714.2648,0
"4cm",63,753139,753.139,0
"2cm",62,765786,765.786,0
"1cm",61,785731.3,785.7313,0
"4cm",63,812108.4,812.1084,0
"1cm",61,830804,830.804,0
"2cm",62,857879.2,857.8792,0
"1cm",61,888155.4,888.1554,0
"4cm",63,950557.4,950.5574,0
"4cm",63,968754.8,968.7548,0
"1cm",61,979452.2,979.4522,0
"4cm",63,1001847,1001.847,0
"2cm",62,1025291.4,1025.2914,0
"2cm",62,1046003.2,1046.0032,0
"4cm",63,1056517.4,1056.5174,0
"2cm",62,1069762.9,1069.7629,0
"1cm",61,1090341.4,1090.3414,0
"4cm",63,1109738.2,1109.7382,0
"2cm",62,1124268.1,1124.2681,0
"4cm",63,1138031.5,1138.0315,0
"4cm",63,1194484.9,1194.4849,0
"2cm",62,1219162.4,1219.1624,0
"4cm",63,1233775.6,1233.7756,0
"1cm",61,1914198.5,1914.1985,0
"2cm",62,1945256.6,1945.2566,0
"4cm",63,1965786.2,1965.7862,0
"4cm",63,1983482.1,1983.4821,0
"4cm",63,1994646.1,1994.6461,0
"2cm",62,2008976.1,2008.9761,0
"2cm",62,2020206.8,2020.2068,0
"1cm",61,2029721.2,2029.7212,0
"4cm",63,2040352,2040.352,0
"1cm",61,2050966.2,2050.9662,0
"4cm",63,2062896.7,2062.8967,0
"2cm",62,2072627.8,2072.6278,0
"1cm",61,2083758.5,2083.7585,0
"2cm",62,2095122.5,2095.1225,0
"2cm",62,2104736.9,2104.7369,0
"1cm",61,2115001.1,2115.0011,0
"4cm",63,2128746.2,2128.7462,0
"1cm",61,2139428.7,2139.4287,0
"2cm",62,2151575.8,2151.5758,0
"1cm",61,2161340.2,2161.3402,0
"1cm",61,2171321.2,2171.3212,0
"4cm",63,2183268.3,2183.2683,0
"4cm",63,2195597.5,2195.5975,0
"2cm",62,2205346.5,2205.3465,0
"4cm",63,2216427.2,2216.4272,0
"2cm",62,2225325.1,2225.3251,0
"1cm",61,2238038.8,2238.0388,0
"1cm",61,2281628.5,2281.6285,0
"2cm",62,2290191.9,2290.1919,0
"2cm",62,2299074.4,2299.0744,0
"4cm",63,2307222.4,2307.2224,0
"4cm",63,2314970.6,2314.9706,0
"2cm",62,2322868.8,2322.8688,0
"2cm",62,2330200.3,2330.2003,0
"2cm",62,2337298.7,2337.2987,0
"1cm",61,2344863.6,2344.8636,0
"4cm",63,2352945,2352.945,0
"2cm",62,2360509.9,2360.5099,0
"2cm",62,2367541.6,2367.5416,0
"4cm",63,2374090,2374.09,0
"4cm",63,2381654.9,2381.6549,0
"1cm",61,2389219.8,2389.2198,0
"1cm",61,2397051.3,2397.0513,0
"1cm",61,2404016.3,2404.0163,0
"1cm",61,2412814.2,2412.8142,0
"4cm",63,2420729,2420.729,0
"4cm",63,2427794,2427.794,0
"1cm",61,2435225.6,2435.2256,0
"2cm",62,2442757.2,2442.7572,0
"1cm",61,2450238.7,2450.2387,0
"4cm",63,2456703.9,2456.7039,0
