"translation","V1","V2","TimeSec","TimeAbsolute"
"0",9301,1012361.8,1012.3618,0
"0",9301,1053436.2,1053.4362,0
"0",9301,1165995,1165.995,0
"0",9301,1166511.5,1166.5115,0
"0",9301,1167944.6,1167.9446,0
"0",9301,1204203.3,1204.2033,0
"0",9301,1205453.1,1205.4531,0
"0",9301,1652005.8,1652.0058,0
"0",9301,1659187.5,1659.1875,0
"0",9301,1660404,1660.404,0
"0",9301,1667269.1,1667.2691,0
"0",9301,1668300.9,1668.3009,0
"0",9301,1668407,1668.407,0
"0",9301,1669402,1669.402,0
"0",9301,1670668.4,1670.6684,0
"0",9301,1686898.2,1686.8982,0
"0",9301,1687798,1687.798,0
"0",9301,1700528.6,1700.5286,0
"0",9301,1709476.6,1709.4766,0
"0",9301,1716608.4,1716.6084,0
"0",9301,1787209.7,1787.2097,0
"0",9301,1788092.8,1788.0928,0
"0",9301,1789091.4,1789.0914,0
"0",9301,1791842,1791.842,0
"0",9301,1805422.4,1805.4224,0
"0",9301,1808938.3,1808.9383,0
"0",9301,1809138.2,1809.1382,0
"0",9301,1829167.2,1829.1672,0
"0",9301,1829867.1,1829.8671,0
"0",9301,1953706.8,1953.7068,0
"0",9301,1954439.9,1954.4399,0
"0",9301,1955106.5,1955.1065,0
"0",9301,1955806.3,1955.8063,0
"0",9301,1963637.9,1963.6379,0
"0",9301,2060866.8,2060.8668,0
"0",9301,2061500,2061.5,0
"0",9301,2062549.7,2062.5497,0
"0",9301,2063866.1,2063.8661,0
"0",9301,2065299.1,2065.2991,0
"0",9301,2066565.5,2066.5655,0
"0",9301,2068848.4,2068.8484,0
"0",9301,2069781.4,2069.7814,0
"0",9301,2096692.3,2096.6923,0
"0",9301,2120603.8,2120.6038,0
"0",9301,2121968.7,2121.9687,0
"0",9301,2122120.1,2122.1201,0
"0",9301,2148164.4,2148.1644,0
"0",9301,2151597,2151.597,0
"0",9301,2152613.4,2152.6134,0
"0",9302,2170276.2,2170.2762,0
"0",9302,2188922.2,2188.9222,0
"0",9303,2201669.4,2201.6694,0
"0",9304,2249559,2249.559,0
"0",9305,2275553.4,2275.5534,0
"0",9306,2287200.8,2287.2008,0
"0",9306,2293116.2,2293.1162,0
"0",9306,2294782.5,2294.7825,0
"0",9307,2306846.5,2306.8465,0
"0",9307,2314244.9,2314.2449,0
"0",9307,2318444,2318.444,0
"0",9307,2329641.6,2329.6416,0
"0",9307,2331224.6,2331.2246,0
"0",9307,2334707.1,2334.7071,0
"0",9308,2344871.6,2344.8716,0
"0",9308,2351586.8,2351.5868,0
"0",9308,2352618.6,2352.6186,0
"0",9308,2362734.4,2362.7344,0
"0",9308,2364284,2364.284,0
"0",9309,2382595.2,2382.5952,0
"0",9309,2399443,2399.443,0
"0",9309,2400342.9,2400.3429,0
"0",9309,2474943.3,2474.9433,0
"0",9309,2476409.6,2476.4096,0
"0",9309,2499937.8,2499.9378,0
"0",9309,2500604.4,2500.6044,0
"0",9310,2513418.2,2513.4182,0
"0",9310,2513472.9,2513.4729,0
"0",9311,2526148.8,2526.1488,0
"0",9312,2538346.1,2538.3461,0
"0",9313,2551926.5,2551.9265,0
"0",9313,2560658,2560.658,0
"0",9313,2560941.2,2560.9412,0
"0",9314,2570855.7,2570.8557,0
"0",9314,2576321.2,2576.3212,0
"0",9315,2583519.6,2583.5196,0
"0",9315,2588767.4,2588.7674,0
"0",9316,2596333.5,2596.3335,0
"0",9317,2607331.1,2607.3311,0
"0",9317,2614912.8,2614.9128,0
"0",9317,2615579.3,2615.5793,0
"0",9318,2624477.4,2624.4774,0
"0",9319,2638257.7,2638.2577,0
"0",9319,2645237.8,2645.2378,0
"0",9319,2647972.3,2647.9723,0
"0",9320,2656420.4,2656.4204,0
"0",9320,2656703.7,2656.7037,0
"0",9321,2668367.8,2668.3678,0
"0",9322,2680681.8,2680.6818,0
"0",9322,2680831.8,2680.8318,0
"0",9322,2690796.3,2690.7963,0
"0",9322,2692895.8,2692.8958,0
"0",9322,2695078.7,2695.0787,0
"0",9322,2696445.1,2696.4451,0
"0",9323,2706142.9,2706.1429,0
"0",9323,2717407.2,2717.4072,0
"0",9323,2726671.8,2726.6718,0
"0",9323,2736486.3,2736.4863,0
"0",9324,2751649.7,2751.6497,0
"0",9325,2764546.9,2764.5469,0
"0",9326,2783676.1,2783.6761,0
"0",9327,2793040.7,2793.0407,0
"0",9327,2799272.7,2799.2727,0
"0",9327,2801888.8,2801.8888,0
"0",9328,2812569.8,2812.5698,0
"0",9328,2816485.6,2816.4856,0
"0",9328,2829649.4,2829.6494,0
"0",9328,2831832.2,2831.8322,0
"0",9328,2834848.2,2834.8482,0
"0",9329,2848178.7,2848.1787,0
"0",9330,2861792.4,2861.7924,0
