"translation","V1","V2","TimeSec","TimeAbsolute"
"0","7",245475,245.475,0
"trial finished okay","80",245476,245.476,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9121",248723.6,248.7236,0
"0","20",248724.6,248.7246,0
"0","40",253806.7,253.8067,0
"move epoch: 2cm cube","62",254406.6,254.4066,0
"0","8021",254406.6,254.4066,0
"0","7",254383,254.383,0
"trial finished okay","80",254384,254.384,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9122",257921.4,257.9214,0
"0","20",257922.4,257.9224,0
"0","40",263221.2,263.2212,0
"move epoch: 3cm cube","63",263704.4,263.7044,0
"0","8022",263704.4,263.7044,0
"0","7",263679,263.679,0
"trial finished okay","80",263680,263.68,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9123",266869.3,266.8693,0
"0","20",266870.3,266.8703,0
"0","40",270902.7,270.9027,0
"move epoch: 2cm cube","62",271385.9,271.3859,0
"0","8023",271385.9,271.3859,0
"0","7",271368,271.368,0
"trial finished okay","80",271369,271.369,0
"0","190",271385.9,271.3859,0
"0","94",34.2,0.0342,0
"0","9124",274484.2,274.4842,0
"0","20",274485.2,274.4852,0
"ERROR: lifted during loading/checking","30",275018,275.018,0
"0","94",34.2,0.0342,0
"0","9124",277933.4,277.9334,0
"0","20",277934.4,277.9344,0
"ERROR: lifted during loading/checking","30",278201,278.201,0
"0","94",34.2,0.0342,0
"0","9124",278234.3,278.2343,0
"0","20",278235.3,278.2353,0
"ERROR: lifted during loading/checking","30",278500,278.5,0
"0","94",34.2,0.0342,0
"0","9124",280532.8,280.5328,0
"0","20",280533.8,280.5338,0
"ERROR: lifted during loading/checking","30",280850,280.85,0
"0","94",34.2,0.0342,0
"0","9124",280916,280.916,0
"0","20",280917,280.917,0
"0","40",286282.4,286.2824,0
"move epoch: 1cm cube","61",287032.2,287.0322,0
"0","8024",287032.2,287.0322,0
"0","7",287018,287.018,0
"trial finished okay","80",287019,287.019,0
"0","400",290313.8,290.3138,0
"end of block","100",290314.8,290.3148,0
"LH Block Start","10",293330.7,293.3307,0
"Visible Block Start","12",293331.7,293.3317,0
"0","94",293331.7,293.3317,0
"0","9201",318373.8,318.3738,0
"0","20",318374.8,318.3748,0
"0","40",326956.1,326.9561,0
"move epoch: 3cm cube","63",327020.4,327.0204,0
"0","8025",327020.4,327.0204,0
"0","7",327012,327.012,0
"trial finished okay","80",327013,327.013,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9202",331553,331.553,0
"0","20",331554,331.554,0
"ERROR: lifted during loading/checking","30",332521,332.521,0
"0","94",293331.7,293.3317,0
"0","9202",336003,336.003,0
"0","20",336004,336.004,0
"0","40",344102.1,344.1021,0
"move epoch: 1cm cube","61",344768.6,344.7686,0
"0","8026",344768.6,344.7686,0
"0","7",344753,344.753,0
"trial finished okay","80",344754,344.754,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9203",349033.3,349.0333,0
"0","20",349034.3,349.0343,0
"ERROR: lifted during loading/checking","30",352216,352.216,0
"0","94",293331.7,293.3317,0
"0","9203",357314.7,357.3147,0
"0","20",357315.7,357.3157,0
"ERROR: lifted during loading/checking","30",357915,357.915,0
"0","94",293331.7,293.3317,0
"0","9203",358031.2,358.0312,0
"0","20",358032.2,358.0322,0
"ERROR: lifted during loading/checking","30",359998,359.998,0
"0","94",293331.7,293.3317,0
"0","9203",360497.2,360.4972,0
"0","20",360498.2,360.4982,0
"ERROR: lifted during loading/checking","30",361064,361.064,0
"0","94",293331.7,293.3317,0
"0","9203",365112.8,365.1128,0
"0","20",365113.8,365.1138,0
"0","40",371512.3,371.5123,0
"move epoch: 2cm cube","62",372262.1,372.2621,0
"0","8027",372262.1,372.2621,0
"0","7",372236,372.236,0
"trial finished okay","80",372237,372.237,0
"experimenter denied","91",69466.9,69.4669,0
"0","9204",377276.6,377.2766,0
"0","20",377277.6,377.2776,0
"0","40",386092.2,386.0922,0
"move epoch: 3cm cube","63",391790.9,391.7909,0
"0","8028",391790.9,391.7909,0
"0","7",391771,391.771,0
"trial finished okay","80",391772,391.772,0
"ERROR: lifted during loading/checking","30",394440,394.44,0
"auto denial","93",392207.4,392.2074,0
"0","94",293331.7,293.3317,0
"0","9205",401420.9,401.4209,0
"0","20",401421.9,401.4219,0
"ERROR: lifted during loading/checking","30",403521,403.521,0
"0","94",293331.7,293.3317,0
"0","9205",406819.6,406.8196,0
"0","20",406820.6,406.8206,0
"ERROR: lifted during loading/checking","30",406953,406.953,0
"0","94",293331.7,293.3317,0
"0","9205",412501.6,412.5016,0
"0","20",412502.6,412.5026,0
"0","40",419667.6,419.6676,0
"move epoch: 2cm cube","62",420234.1,420.2341,0
"0","8029",420234.1,420.2341,0
"0","7",420212,420.212,0
"trial finished okay","80",420213,420.213,0
"experimenter confirmed","90",392207.4,392.2074,0
"0","9206",425248.6,425.2486,0
"0","20",425249.6,425.2496,0
"0","40",433980.9,433.9809,0
"move epoch: 1cm cube","61",439512.9,439.5129,0
"0","8030",439512.9,439.5129,0
"0","7",439496,439.496,0
"trial finished okay","80",439497,439.497,0
"experimenter confirmed","90",440046.1,440.0461,0
"0","9207",446960.2,446.9602,0
"0","20",446961.2,446.9612,0
"0","40",451543.4,451.5434,0
"move epoch: 3cm cube","63",452193.3,452.1933,0
"0","8031",452193.3,452.1933,0
"0","7",452178,452.178,0
"trial finished okay","80",452179,452.179,0
"experimenter confirmed","90",440046.1,440.0461,0
"0","9208",456274.6,456.2746,0
"0","20",456275.6,456.2756,0
"ERROR: lifted during loading/checking","30",462490,462.49,0
"0","94",293331.7,293.3317,0
"0","9208",465789.1,465.7891,0
"0","20",465790.1,465.7901,0
"ERROR: lifted during loading/checking","30",466889,466.889,0
"0","94",293331.7,293.3317,0
"0","9208",467138.8,467.1388,0
"0","20",467139.8,467.1398,0
"0","40",471688.7,471.6887,0
"move epoch: 1cm cube","61",472488.5,472.4885,0
"0","8032",472488.5,472.4885,0
"0","7",472477,472.477,0
"trial finished okay","80",472478,472.478,0
"experimenter confirmed","90",440046.1,440.0461,0
"0","9209",477503,477.503,0
"0","20",477504,477.504,0
"ERROR: lifted during loading/checking","30",498765,498.765,0
"0","94",293331.7,293.3317,0
"0","9209",502763.7,502.7637,0
"0","20",502764.7,502.7647,0
"ERROR: lifted during loading/checking","30",504047,504.047,0
"0","94",293331.7,293.3317,0
"0","9209",513927.7,513.9277,0
"0","20",513928.7,513.9287,0
"ERROR: lifted during loading/checking","30",514245,514.245,0
"0","94",293331.7,293.3317,0
"0","9209",516043.9,516.0439,0
"0","20",516044.9,516.0449,0
"ERROR: lifted during loading/checking","30",516661,516.661,0
"0","94",293331.7,293.3317,0
"0","9209",521192.7,521.1927,0
"0","20",521193.7,521.1937,0
"ERROR: lifted during loading/checking","30",521993,521.993,0
"0","94",293331.7,293.3317,0
"0","9209",542754.2,542.7542,0
"0","20",542755.2,542.7552,0
"ERROR: lifted during loading/checking","30",542988,542.988,0
"0","94",293331.7,293.3317,0
"0","9209",544803.8,544.8038,0
"0","20",544804.8,544.8048,0
"ERROR: lifted during loading/checking","30",545537,545.537,0
"0","94",293331.7,293.3317,0
"0","9209",548003,548.003,0
"0","20",548004,548.004,0
"ERROR: lifted during loading/checking","30",548987,548.987,0
"0","94",293331.7,293.3317,0
"0","9209",551868.8,551.8688,0
"0","20",551869.8,551.8698,0
"ERROR: lifted during loading/checking","30",552536,552.536,0
"0","94",293331.7,293.3317,0
"0","9209",563782.6,563.7826,0
"0","20",563783.6,563.7836,0
"ERROR: lifted during loading/checking","30",566433,566.433,0
"0","94",293331.7,293.3317,0
"0","9209",569131.4,569.1314,0
"0","20",569132.4,569.1324,0
"ERROR: lifted during loading/checking","30",570182,570.182,0
"0","94",293331.7,293.3317,0
"0","9209",571880.7,571.8807,0
"0","20",571881.7,571.8817,0
"ERROR: lifted during loading/checking","30",572148,572.148,0
"0","94",293331.7,293.3317,0
"0","9209",573047,573.047,0
"0","20",573048,573.048,0
"ERROR: lifted during loading/checking","30",574631,574.631,0
"0","94",293331.7,293.3317,0
"0","9209",575296.6,575.2966,0
"0","20",575297.6,575.2976,0
"ERROR: lifted during loading/checking","30",577030,577.03,0
"0","94",293331.7,293.3317,0
"0","9209",579062.4,579.0624,0
"0","20",579063.4,579.0634,0
"ERROR: lifted during loading/checking","30",579829,579.829,0
"0","94",293331.7,293.3317,0
"0","9209",580643.5,580.6435,0
"0","20",580644.5,580.6445,0
"ERROR: lifted during loading/checking","30",581246,581.246,0
"0","94",293331.7,293.3317,0
"0","9209",593608.9,593.6089,0
"0","20",593609.9,593.6099,0
"ERROR: lifted during loading/checking","30",593676,593.676,0
"0","94",293331.7,293.3317,0
"0","9209",594275.4,594.2754,0
"0","20",594276.4,594.2764,0
"0","40",607223.4,607.2234,0
"move epoch: 2cm cube","62",608473.1,608.4731,0
"0","8033",608473.1,608.4731,0
"0","7",608455,608.455,0
"trial finished okay","80",608456,608.456,0
"experimenter confirmed","90",440046.1,440.0461,0
"0","9210",613487.6,613.4876,0
"0","20",613488.6,613.4886,0
"0","40",621503.3,621.5033,0
"move epoch: 2cm cube","62",622286.5,622.2865,0
