Number of frames: 1000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z
55,-190.066787720,-325.226165771,-2474.589111328,-195.105880737,-21.469036102,-2461.464111328,-318.914794922,-35.245666504,-2183.838134766,-223.378356934,-340.615600586,-2155.924560547,
56,-190.063095093,-325.228851318,-2474.586914063,-195.104858398,-21.472324371,-2461.479736328,-318.912963867,-35.245067596,-2183.839111328,-223.379928589,-340.616699219,-2155.929687500,
57,-190.068298340,-325.229644775,-2474.604980469,-195.101913452,-21.472686768,-2461.469726563,-318.914031982,-35.243293762,-2183.843505859,-223.383636475,-340.619537354,-2155.943603516,
58,-190.064514160,-325.227905273,-2474.594970703,-195.106506348,-21.473783493,-2461.469726563,-318.915985107,-35.243011475,-2183.848632813,-223.383728027,-340.620513916,-2155.942871094,
59,-190.063217163,-325.228240967,-2474.611572266,-195.102416992,-21.473731995,-2461.463623047,-318.912811279,-35.244514465,-2183.850830078,-223.381088257,-340.617980957,-2155.940917969,
60,-190.062622070,-325.228271484,-2474.609619141,-195.098663330,-21.475742340,-2461.451416016,-318.910919189,-35.242919922,-2183.850585938,-223.382064819,-340.619659424,-2155.950927734,
61,-190.065643311,-325.227386475,-2474.611083984,-195.100784302,-21.473783493,-2461.455566406,-318.911254883,-35.242061615,-2183.853515625,-223.382049561,-340.618530273,-2155.948730469,
62,-190.065567017,-325.229095459,-2474.610107422,-195.108703613,-21.475788116,-2461.464355469,-318.917144775,-35.240665436,-2183.869384766,-223.384063721,-340.617034912,-2155.952880859,
63,-190.069244385,-325.228637695,-2474.614013672,-195.108322144,-21.475273132,-2461.460693359,-318.920410156,-35.240531921,-2183.875732422,-223.386810303,-340.619506836,-2155.958984375,
64,-190.073745728,-325.229156494,-2474.620361328,-195.106628418,-21.477912903,-2461.457519531,-318.921905518,-35.239479065,-2183.876220703,-223.388381958,-340.618255615,-2155.958740234,
65,-190.074890137,-325.228515625,-2474.622070313,-195.109664917,-21.477367401,-2461.458251953,-318.925994873,-35.238166809,-2183.884765625,-223.389465332,-340.617431641,-2155.957031250,
66,-190.075683594,-325.227447510,-2474.618408203,-195.112258911,-21.476552963,-2461.460205078,-318.927124023,-35.238136292,-2183.883544922,-223.392227173,-340.618560791,-2155.958740234,
67,-190.076034546,-325.228637695,-2474.616699219,-195.109481812,-21.474746704,-2461.454833984,-318.925720215,-35.235797882,-2183.891845703,-223.390914917,-340.619323730,-2155.959228516,
68,-190.072174072,-325.229919434,-2474.622558594,-195.106430054,-21.474891663,-2461.459716797,-318.924163818,-35.234352112,-2183.905761719,-223.389404297,-340.617828369,-2155.957031250,
69,-190.074539185,-325.230041504,-2474.625976563,-195.109558105,-21.474212646,-2461.454589844,-318.924835205,-35.232696533,-2183.909912109,-223.390792847,-340.619995117,-2155.959472656,
70,-190.077819824,-325.228607178,-2474.624755859,-195.110061646,-21.475484848,-2461.466796875,-318.926818848,-35.229713440,-2183.921875000,-223.391448975,-340.618438721,-2155.958984375,
71,-190.076522827,-325.226867676,-2474.612548828,-195.109405518,-21.474891663,-2461.465332031,-318.930236816,-35.229587555,-2183.931884766,-223.390655518,-340.616668701,-2155.960937500,
72,-190.079956055,-325.228851318,-2474.620361328,-195.108184814,-21.473854065,-2461.456787109,-318.929901123,-35.229038239,-2183.934570313,-223.393203735,-340.617675781,-2155.966064453,
73,-190.080749512,-325.227050781,-2474.620361328,-195.112976074,-21.473255157,-2461.458984375,-318.930694580,-35.229846954,-2183.923339844,-223.397445679,-340.619140625,-2155.971923828,
74,-190.076202393,-325.226898193,-2474.628906250,-195.110687256,-21.474723816,-2461.460937500,-318.923217773,-35.232242584,-2183.912353516,-223.391372681,-340.617675781,-2155.970214844,
75,-190.074356079,-325.228057861,-2474.640625000,-195.104476929,-21.473733902,-2461.463378906,-318.915191650,-35.234939575,-2183.891357422,-223.386520386,-340.616088867,-2155.960449219,
76,-190.072463989,-325.227050781,-2474.642333984,-195.102966309,-21.473575592,-2461.461425781,-318.912994385,-35.238044739,-2183.877441406,-223.388534546,-340.617828369,-2155.969970703,
77,-190.074218750,-325.226623535,-2474.640136719,-195.108673096,-21.473499298,-2461.465332031,-318.912017822,-35.240337372,-2183.863281250,-223.387405396,-340.615447998,-2155.962158203,
78,-190.075683594,-325.223449707,-2474.632080078,-195.112472534,-21.474569321,-2461.470947266,-318.912780762,-35.241550446,-2183.854003906,-223.388992310,-340.614318848,-2155.957519531,
79,-190.075469971,-325.225646973,-2474.643554688,-195.102035522,-21.473218918,-2461.435058594,-318.909515381,-35.244117737,-2183.843750000,-223.389968872,-340.616241455,-2155.955810547,
80,-190.080337524,-325.224975586,-2474.658447266,-195.106552124,-21.475418091,-2461.442871094,-318.914062500,-35.241851807,-2183.846679688,-223.390625000,-340.615356445,-2155.959228516,
81,-190.075897217,-325.223022461,-2474.648437500,-195.112152100,-21.477235794,-2461.427246094,-318.914947510,-35.242012024,-2183.847656250,-223.390991211,-340.615966797,-2155.959472656,
82,-190.075149536,-325.225097656,-2474.663574219,-195.104873657,-21.477802277,-2461.427490234,-318.912811279,-35.240013123,-2183.854736328,-223.387039185,-340.614624023,-2155.947021484,
83,-190.071838379,-325.225555420,-2474.671630859,-195.095855713,-21.481721878,-2461.420654297,-318.910247803,-35.238883972,-2183.867431641,-223.386322021,-340.617584229,-2155.952148438,
84,-190.068832397,-325.226684570,-2474.666748047,-195.101303101,-21.480609894,-2461.413085938,-318.912048340,-35.239433289,-2183.876953125,-223.384246826,-340.615203857,-2155.944580078,
85,-190.076766968,-325.226226807,-2474.663085938,-195.110183716,-21.482225418,-2461.416015625,-318.920196533,-35.238319397,-2183.875976563,-223.389053345,-340.616424561,-2155.942138672,
86,-190.077148438,-325.226409912,-2474.658447266,-195.109619141,-21.480285645,-2461.407714844,-318.921661377,-35.240421295,-2183.870117188,-223.393020630,-340.617645264,-2155.948486328,
87,-190.080566406,-325.225952148,-2474.642089844,-195.111907959,-21.479665756,-2461.417236328,-318.921447754,-35.241794586,-2183.859130859,-223.393066406,-340.617767334,-2155.943359375,
88,-190.077590942,-325.225585938,-2474.675292969,-195.114303589,-21.477096558,-2461.432617188,-318.921020508,-35.239585876,-2183.865966797,-223.390106201,-340.618408203,-2155.932373047,
89,-190.081512451,-325.227203369,-2474.676025391,-195.111724854,-21.476911545,-2461.436523438,-318.921417236,-35.240459442,-2183.866943359,-223.389892578,-340.619384766,-2155.938720703,
90,-190.073776245,-325.223541260,-2474.654052734,-195.105819702,-21.476825714,-2461.451904297,-318.917327881,-35.241462708,-2183.863525391,-223.387649536,-340.619079590,-2155.935546875,
91,-190.072647095,-325.223480225,-2474.663330078,-195.106018066,-21.476402283,-2461.450927734,-318.916809082,-35.239593506,-2183.868896484,-223.387344360,-340.618194580,-2155.936767578,
92,-190.075653076,-325.224792480,-2474.667724609,-195.107757568,-21.476289749,-2461.444580078,-318.919403076,-35.239479065,-2183.873779297,-223.387710571,-340.619018555,-2155.939453125,
93,-190.078659058,-325.225494385,-2474.668945313,-195.108551025,-21.475954056,-2461.439697266,-318.918365479,-35.239315033,-2183.869384766,-223.390151978,-340.619232178,-2155.938964844,
94,-190.082702637,-325.224517822,-2474.665527344,-195.110305786,-21.476621628,-2461.448242188,-318.920410156,-35.240329742,-2183.865478516,-223.391647339,-340.619659424,-2155.937011719,
95,-190.078506470,-325.226440430,-2474.663085938,-195.108322144,-21.474218369,-2461.449462891,-318.919036865,-35.240863800,-2183.863281250,-223.389221191,-340.617919922,-2155.932373047,
96,-190.077636719,-325.225097656,-2474.649414063,-195.111663818,-21.474912643,-2461.451904297,-318.918304443,-35.240535736,-2183.864013672,-223.391677856,-340.619781494,-2155.940429688,
97,-190.071609497,-325.225799561,-2474.646972656,-195.106399536,-21.474357605,-2461.446777344,-318.911499023,-35.240631104,-2183.860351563,-223.387451172,-340.618499756,-2155.943115234,
98,-190.067123413,-325.227264404,-2474.632080078,-195.100677490,-21.474985123,-2461.451904297,-318.907745361,-35.242767334,-2183.866455078,-223.386077881,-340.619079590,-2155.947753906,
99,-190.064651489,-325.225952148,-2474.625976563,-195.103240967,-21.474313736,-2461.463867188,-318.908020020,-35.243114471,-2183.861083984,-223.386581421,-340.618347168,-2155.944335938,
100,-190.067169189,-325.228424072,-2474.635986328,-195.109909058,-21.472658157,-2461.463623047,-318.910614014,-35.242748260,-2183.864257813,-223.387374878,-340.618927002,-2155.951171875,
101,-190.069717407,-325.226531982,-2474.636230469,-195.109329224,-21.471330643,-2461.475585938,-318.911102295,-35.242149353,-2183.856933594,-223.385147095,-340.616333008,-2155.943115234,
102,-190.071197510,-325.228485107,-2474.642089844,-195.105377197,-21.470069885,-2461.469238281,-318.912017822,-35.242115021,-2183.857177734,-223.387191772,-340.618194580,-2155.945556641,
103,-190.072158813,-325.227081299,-2474.633544922,-195.113372803,-21.472772598,-2461.472167969,-318.915893555,-35.242660522,-2183.859619141,-223.390289307,-340.620635986,-2155.947998047,
104,-190.072692871,-325.224243164,-2474.645507813,-195.116912842,-21.472290039,-2461.465576172,-318.917053223,-35.242282867,-2183.853027344,-223.388824463,-340.615997314,-2155.942871094,
105,-190.068847656,-325.226593018,-2474.633300781,-195.105728149,-21.473287582,-2461.437255859,-318.908966064,-35.241832733,-2183.854248047,-223.386611938,-340.618896484,-2155.949951172,
106,-190.064270020,-325.225311279,-2474.629638672,-195.100799561,-21.474185944,-2461.453613281,-318.907409668,-35.241996765,-2183.857421875,-223.385482788,-340.618530273,-2155.950927734,
107,-190.066223145,-325.223785400,-2474.641113281,-195.111160278,-21.475019455,-2461.444091797,-318.913269043,-35.242050171,-2183.860107422,-223.386169434,-340.616149902,-2155.946777344,
108,-190.074279785,-325.227935791,-2474.652832031,-195.114578247,-21.477069855,-2461.441650391,-318.918670654,-35.241107941,-2183.863281250,-223.393783569,-340.615936279,-2155.952392578,
109,-190.075149536,-325.225250244,-2474.639404297,-195.108169556,-21.478960037,-2461.432617188,-318.918792725,-35.241485596,-2183.866210938,-223.394058228,-340.618011475,-2155.956298828,
110,-190.070709229,-325.226623535,-2474.656738281,-195.107757568,-21.480333328,-2461.436523438,-318.917877197,-35.240043640,-2183.864990234,-223.390213013,-340.617126465,-2155.961181641,
111,-190.075317383,-325.225097656,-2474.645263672,-195.112121582,-21.478399277,-2461.424560547,-318.921752930,-35.240161896,-2183.874267578,-223.391174316,-340.616912842,-2155.952392578,
112,-190.081207275,-325.226165771,-2474.656494141,-195.108810425,-21.476900101,-2461.420166016,-318.925445557,-35.241287231,-2183.873046875,-223.395172119,-340.616851807,-2155.958740234,
113,-190.075042725,-325.226257324,-2474.638916016,-195.105560303,-21.480823517,-2461.431396484,-318.920684814,-35.243213654,-2183.866943359,-223.392822266,-340.616394043,-2155.959228516,
114,-190.073013306,-325.227691650,-2474.659179688,-195.102005005,-21.476934433,-2461.429931641,-318.913330078,-35.240989685,-2183.861816406,-223.387268066,-340.616058350,-2155.964111328,
115,-190.071533203,-325.224121094,-2474.649658203,-195.102371216,-21.478273392,-2461.432373047,-318.914184570,-35.240756989,-2183.855468750,-223.389480591,-340.617065430,-2155.963378906,
116,-190.075820923,-325.225616455,-2474.654296875,-195.103759766,-21.479867935,-2461.424804688,-318.919097900,-35.240665436,-2183.862792969,-223.393493652,-340.618652344,-2155.968750000,
117,-190.080001831,-325.228454590,-2474.660888672,-195.106811523,-21.478523254,-2461.430419922,-318.921386719,-35.239093781,-2183.869384766,-223.392929077,-340.616668701,-2155.960449219,
118,-190.074981689,-325.228546143,-2474.658447266,-195.101928711,-21.477762222,-2461.428955078,-318.918121338,-35.239257813,-2183.876220703,-223.389358521,-340.617156982,-2155.957519531,
119,-190.072708130,-325.224639893,-2474.643310547,-195.101837158,-21.477783203,-2461.438232422,-318.915771484,-35.237773895,-2183.875244141,-223.388839722,-340.617156982,-2155.958740234,
120,-190.079544067,-325.228454590,-2474.639160156,-195.102569580,-21.477045059,-2461.441650391,-318.917480469,-35.240188599,-2183.869384766,-223.390441895,-340.618316650,-2155.960937500,
121,-190.075500488,-325.229888916,-2474.637451172,-195.101440430,-21.477468491,-2461.433105469,-318.913055420,-35.241374969,-2183.861083984,-223.386978149,-340.617401123,-2155.949951172,
122,-190.068618774,-325.229797363,-2474.644287109,-195.096588135,-21.477439880,-2461.440185547,-318.906494141,-35.244705200,-2183.854003906,-223.383316040,-340.619018555,-2155.957275391,
123,-190.067245483,-325.231201172,-2474.655029297,-195.092788696,-21.479402542,-2461.443359375,-318.903442383,-35.245376587,-2183.844238281,-223.381835938,-340.619506836,-2155.953369141,
124,-190.072250366,-325.230285645,-2474.642822266,-195.098434448,-21.476821899,-2461.440673828,-318.907928467,-35.246459961,-2183.829101563,-223.384262085,-340.618469238,-2155.953125000,
125,-190.075347900,-325.229858398,-2474.651123047,-195.101623535,-21.476209641,-2461.447753906,-318.913269043,-35.249626160,-2183.831542969,-223.387619019,-340.619659424,-2155.958984375,
126,-190.075241089,-325.229309082,-2474.650878906,-195.099487305,-21.474758148,-2461.452880859,-318.911987305,-35.250419617,-2183.818115234,-223.385894775,-340.618164063,-2155.951660156,
127,-190.073410034,-325.227691650,-2474.652343750,-195.098648071,-21.477140427,-2461.452392578,-318.910339355,-35.253631592,-2183.805908203,-223.384048462,-340.618865967,-2155.957275391,
128,-190.071655273,-325.227478027,-2474.645996094,-195.097686768,-21.477596283,-2461.451660156,-318.911193848,-35.252815247,-2183.805664063,-223.386047363,-340.619720459,-2155.959472656,
129,-190.077682495,-325.233428955,-2474.647705078,-195.102951050,-21.479148865,-2461.440673828,-318.913421631,-35.254272461,-2183.798583984,-223.389083862,-340.619781494,-2155.967285156,
130,-190.073226929,-325.228546143,-2474.632812500,-195.101379395,-21.477533340,-2461.451660156,-318.911376953,-35.254333496,-2183.805175781,-223.386108398,-340.619598389,-2155.970214844,
131,-190.071594238,-325.228240967,-2474.614990234,-195.102172852,-21.476030350,-2461.454833984,-318.910522461,-35.255741119,-2183.798095703,-223.388046265,-340.618682861,-2155.978515625,
132,-190.076660156,-325.233032227,-2474.629394531,-195.102371216,-21.477685928,-2461.443603516,-318.912292480,-35.254608154,-2183.785156250,-223.391693115,-340.619201660,-2155.971435547,
133,-190.080978394,-325.230163574,-2474.636230469,-195.109954834,-21.477478027,-2461.457519531,-318.917297363,-35.255126953,-2183.794189453,-223.392974854,-340.618865967,-2155.976318359,
134,-190.078308105,-325.232391357,-2474.619873047,-195.108505249,-21.475809097,-2461.448242188,-318.916656494,-35.255935669,-2183.797119141,-223.390350342,-340.616882324,-2155.971191406,
135,-190.076110840,-325.229583740,-2474.617675781,-195.104904175,-21.477117538,-2461.453857422,-318.915588379,-35.255187988,-2183.799316406,-223.391967773,-340.619781494,-2155.982177734,
136,-190.074142456,-325.232391357,-2474.610595703,-195.107940674,-21.479310989,-2461.445800781,-318.914276123,-35.256134033,-2183.807861328,-223.391662598,-340.619262695,-2155.974365234,
137,-190.075012207,-325.230804443,-2474.610351563,-195.110824585,-21.480203629,-2461.443359375,-318.912994385,-35.255138397,-2183.810058594,-223.388427734,-340.617401123,-2155.970458984,
138,-190.073989868,-325.229980469,-2474.601806641,-195.105484009,-21.478464127,-2461.435058594,-318.912109375,-35.252952576,-2183.806152344,-223.387344360,-340.615905762,-2155.963867188,
139,-190.071105957,-325.228698730,-2474.592773438,-195.099166870,-21.479408264,-2461.432861328,-318.914123535,-35.251113892,-2183.819580078,-223.386947632,-340.618865967,-2155.967529297,
140,-190.073593140,-325.230987549,-2474.604736328,-195.106643677,-21.478670120,-2461.428222656,-318.918792725,-35.251113892,-2183.815185547,-223.386993408,-340.618560791,-2155.961669922,
141,-190.071029663,-325.229003906,-2474.598876953,-195.107360840,-21.478078842,-2461.436035156,-318.914184570,-35.248630524,-2183.818115234,-223.385131836,-340.618225098,-2155.963378906,
142,-190.069168091,-325.229522705,-2474.600830078,-195.100173950,-21.478412628,-2461.429687500,-318.913421631,-35.249382019,-2183.825927734,-223.386642456,-340.619018555,-2155.967773438,
143,-190.067352295,-325.230865479,-2474.587646484,-195.100646973,-21.479898453,-2461.429931641,-318.909790039,-35.248710632,-2183.818847656,-223.385940552,-340.619079590,-2155.960937500,
144,-190.065032959,-325.230712891,-2474.593017578,-195.106140137,-21.477857590,-2461.434326172,-318.910736084,-35.248447418,-2183.825439453,-223.385101318,-340.618865967,-2155.957275391,
145,-190.060623169,-325.231964111,-2474.591308594,-195.105804443,-21.476112366,-2461.433593750,-318.906646729,-35.249145508,-2183.818115234,-223.382461548,-340.617034912,-2155.947998047,
146,-190.060867310,-325.228088379,-2474.580566406,-195.100158691,-21.477127075,-2461.440917969,-318.901275635,-35.251140594,-2183.810791016,-223.383682251,-340.617645264,-2155.954589844,
147,-190.060775757,-325.232238770,-2474.581298828,-195.103881836,-21.476713181,-2461.443359375,-318.901275635,-35.253616333,-2183.802490234,-223.385437012,-340.617950439,-2155.956787109,
148,-190.064529419,-325.230621338,-2474.586425781,-195.107391357,-21.475357056,-2461.437500000,-318.900054932,-35.253730774,-2183.794189453,-223.385864258,-340.619171143,-2155.956054688,
149,-190.064849854,-325.233032227,-2474.572265625,-195.106918335,-21.475168228,-2461.449707031,-318.901092529,-35.251846313,-2183.796875000,-223.386093140,-340.619598389,-2155.956054688,
